Frame,Time,Density
291,19.43,0.212709
292,19.497,0.211502
293,19.564,0.210593
294,19.631,0.210233
295,19.698,0.209026
296,19.765,0.209057
297,19.832,0.208665
298,19.899,0.207537
299,19.966,0.20774
300,20.033,0.207819
301,20.1,0.20785
302,20.167,0.20796
303,20.234,0.207803
304,20.301,0.20785
305,20.368,0.207725
306,20.435,0.207427
307,20.502,0.207004
308,20.569,0.206988
309,20.636,0.20691
310,20.703,0.207348
311,20.77,0.207411
312,20.837,0.207537
313,20.904,0.207348
314,20.971,0.208101
315,21.038,0.21086
316,21.105,0.212286
317,21.172,0.215264
318,21.239,0.217333
319,21.306,0.21796
320,21.373,0.220374
321,21.44,0.22249
322,21.507,0.223384
323,21.574,0.224544
324,21.641,0.225767
325,21.708,0.224685
326,21.775,0.224356
327,21.842,0.224183
328,21.909,0.224246
329,21.976,0.224544
330,22.043,0.224591
331,22.11,0.224027
332,22.177,0.223509
333,22.244,0.223274
334,22.311,0.221769
335,22.378,0.22108
336,22.445,0.220547
337,22.512,0.220092
338,22.579,0.219763
339,22.646,0.219544
340,22.713,0.219638
341,22.78,0.219622
342,22.847,0.218979
343,22.914,0.219152
344,22.981,0.218572
345,23.048,0.218305
346,23.115,0.218509
347,23.182,0.219026
348,23.249,0.219387
349,23.316,0.218681
350,23.383,0.218493
351,23.45,0.21807
352,23.517,0.217913
353,23.584,0.218619
354,23.651,0.218415
355,23.718,0.218822
356,23.785,0.21887
357,23.852,0.22039
358,23.919,0.222945
359,23.986,0.226033
360,24.053,0.227632
361,24.12,0.229419
362,24.187,0.231551
363,24.254,0.231958
364,24.321,0.233761
365,24.388,0.232193
366,24.455,0.233134
367,24.522,0.232507
368,24.589,0.232491
369,24.656,0.232554
370,24.723,0.232131
371,24.79,0.232178
372,24.857,0.232272
373,24.924,0.234294
374,24.991,0.235422
375,25.058,0.239043
376,25.125,0.243996
377,25.192,0.246113
378,25.259,0.250078
379,25.326,0.25511
380,25.393,0.2579
381,25.46,0.262728
382,25.527,0.270299
383,25.594,0.279265
384,25.661,0.283874
385,25.728,0.286037
386,25.795,0.290724
387,25.862,0.29563
388,25.929,0.298091
389,25.996,0.30201
390,26.063,0.307605
391,26.13,0.309471
392,26.197,0.314142
393,26.264,0.3206
394,26.331,0.331839
395,26.398,0.338203
396,26.465,0.340021
397,26.532,0.344802
398,26.599,0.350069
399,26.666,0.351386
400,26.733,0.355461
401,26.8,0.360775
402,26.867,0.36612
