Frame,Time,Density
1,0,0.155394
2,0.067,0.155205
3,0.134,0.155456
4,0.201,0.155394
5,0.268,0.155079
6,0.335,0.154702
7,0.402,0.150553
8,0.469,0.154451
9,0.536,0.154891
10,0.603,0.158537
11,0.67,0.161114
12,0.737,0.165137
13,0.804,0.16872
14,0.871,0.171549
15,0.938,0.170857
16,1.005,0.169789
17,1.072,0.167777
18,1.139,0.167274
19,1.206,0.162748
20,1.273,0.157782
21,1.34,0.158097
22,1.407,0.158411
23,1.474,0.16168
24,1.541,0.162874
25,1.608,0.16564
26,1.675,0.166269
27,1.742,0.168029
28,1.809,0.171109
29,1.876,0.173309
30,1.943,0.175572
31,2.01,0.177144
32,2.077,0.177709
33,2.144,0.179595
34,2.211,0.182235
35,2.278,0.182235
36,2.345,0.180538
37,2.412,0.178275
38,2.479,0.179218
39,2.546,0.178275
40,2.613,0.177709
41,2.68,0.176829
42,2.747,0.176452
43,2.814,0.177961
44,2.881,0.178464
45,2.948,0.178212
46,3.015,0.178149
47,3.082,0.177898
48,3.149,0.177898
49,3.216,0.178967
50,3.283,0.180098
51,3.35,0.180224
52,3.417,0.179909
53,3.484,0.179029
54,3.551,0.179092
55,3.618,0.179784
56,3.685,0.18035
57,3.752,0.180915
58,3.819,0.183807
59,3.886,0.182801
60,3.953,0.180287
61,4.02,0.181292
62,4.087,0.180601
63,4.154,0.182298
64,4.221,0.181984
65,4.288,0.181921
66,4.355,0.181607
67,4.422,0.179847
68,4.489,0.18167
69,4.556,0.181544
70,4.623,0.182361
71,4.69,0.180224
72,4.757,0.178149
73,4.824,0.177521
74,4.891,0.176892
75,4.958,0.177646
76,5.025,0.178338
77,5.092,0.177646
78,5.159,0.178212
79,5.226,0.179407
80,5.293,0.187516
81,5.36,0.194242
82,5.427,0.198768
83,5.494,0.204677
84,5.561,0.211403
85,5.628,0.224918
86,5.695,0.231267
87,5.762,0.235668
88,5.829,0.238433
89,5.896,0.24384
90,5.963,0.24516
91,6.03,0.248491
92,6.097,0.249686
93,6.164,0.252326
94,6.231,0.250314
95,6.298,0.249434
96,6.365,0.242771
97,6.432,0.235039
98,6.499,0.232965
99,6.566,0.224353
100,6.633,0.219449
101,6.7,0.218506
102,6.767,0.211277
103,6.834,0.205871
104,6.901,0.206123
105,6.968,0.206186
106,7.035,0.206626
107,7.102,0.205306
108,7.169,0.209014
109,7.236,0.21002
110,7.303,0.214232
111,7.37,0.213792
112,7.437,0.211152
113,7.504,0.211906
114,7.571,0.214295
115,7.638,0.213918
116,7.705,0.215363
117,7.772,0.218884
118,7.839,0.218695
119,7.906,0.218004
120,7.973,0.218066
121,8.04,0.218192
122,8.107,0.221209
123,8.174,0.221084
124,8.241,0.220204
125,8.308,0.216243
126,8.375,0.216181
127,8.442,0.212409
128,8.509,0.210523
129,8.576,0.20606
130,8.643,0.203671
131,8.71,0.203105
132,8.777,0.201911
133,8.844,0.198956
134,8.911,0.199459
135,8.978,0.197259
136,9.045,0.198391
137,9.112,0.198202
138,9.179,0.197071
139,9.246,0.194808
140,9.313,0.191287
141,9.38,0.188144
142,9.447,0.185944
143,9.514,0.180664
144,9.581,0.175446
145,9.648,0.176075
146,9.715,0.173498
147,9.782,0.169726
148,9.849,0.168594
149,9.916,0.16828
150,9.983,0.168406
151,10.05,0.167777
152,10.117,0.167274
153,10.184,0.167463
154,10.251,0.16696
155,10.318,0.167274
156,10.385,0.167526
157,10.452,0.168029
158,10.519,0.172743
159,10.586,0.173309
160,10.653,0.172869
161,10.72,0.173812
162,10.787,0.175132
163,10.854,0.174755
164,10.921,0.175698
165,10.988,0.177646
166,11.055,0.176138
167,11.122,0.177395
168,11.189,0.176326
169,11.256,0.177709
170,11.323,0.178024
171,11.39,0.178149
172,11.457,0.179029
173,11.524,0.178401
174,11.591,0.177521
175,11.658,0.178024
176,11.725,0.178464
177,11.792,0.179469
178,11.859,0.180412
179,11.926,0.179721
180,11.993,0.179155
181,12.06,0.180287
182,12.127,0.180161
183,12.194,0.180412
184,12.261,0.180224
185,12.328,0.181104
186,12.395,0.181921
187,12.462,0.18211
188,12.529,0.18211
189,12.596,0.183178
190,12.663,0.183493
191,12.73,0.183115
192,12.797,0.182487
193,12.864,0.181984
194,12.931,0.18123
195,12.998,0.181292
196,13.065,0.181041
197,13.132,0.181292
198,13.199,0.181041
199,13.266,0.181732
200,13.333,0.181418
201,13.4,0.18079
202,13.467,0.180727
203,13.534,0.180601
204,13.601,0.18255
205,13.668,0.182047
206,13.735,0.18167
207,13.802,0.181795
208,13.869,0.181921
209,13.936,0.181418
210,14.003,0.181607
211,14.07,0.181167
212,14.137,0.181418
213,14.204,0.18167
214,14.271,0.181921
215,14.338,0.18123
216,14.405,0.180915
217,14.472,0.181418
218,14.539,0.181732
219,14.606,0.181355
220,14.673,0.179721
221,14.74,0.179469
222,14.807,0.178841
223,14.874,0.177961
224,14.941,0.177521
225,15.008,0.177332
226,15.075,0.177458
227,15.142,0.176326
228,15.209,0.176138
229,15.276,0.176704
230,15.343,0.176075
231,15.41,0.176704
232,15.477,0.177961
233,15.544,0.178715
234,15.611,0.178527
235,15.678,0.178024
236,15.745,0.177898
237,15.812,0.177521
238,15.879,0.177144
239,15.946,0.177206
240,16.013,0.176389
241,16.08,0.176138
242,16.147,0.175698
243,16.214,0.175321
244,16.281,0.175383
245,16.348,0.175823
246,16.415,0.175069
247,16.482,0.175195
248,16.549,0.175258
249,16.616,0.175258
250,16.683,0.176075
251,16.75,0.175823
252,16.817,0.175446
253,16.884,0.175258
254,16.951,0.175321
255,17.018,0.175509
256,17.085,0.180664
257,17.152,0.184058
258,17.219,0.18519
259,17.286,0.187139
260,17.353,0.188521
261,17.42,0.188899
262,17.487,0.189402
263,17.554,0.191287
264,17.621,0.192482
265,17.688,0.191287
266,17.755,0.189716
267,17.822,0.18871
268,17.889,0.187767
269,17.956,0.186384
270,18.023,0.186887
271,18.09,0.187327
272,18.157,0.186447
273,18.224,0.18475
274,18.291,0.184436
275,18.358,0.18431
276,18.425,0.183053
277,18.492,0.180727
278,18.559,0.177961
279,18.626,0.18079
280,18.693,0.181481
281,18.76,0.182864
282,18.827,0.183493
283,18.894,0.183241
284,18.961,0.184184
285,19.028,0.185818
286,19.095,0.186258
287,19.162,0.187139
288,19.229,0.186447
289,19.296,0.18519
290,19.363,0.184373
291,19.43,0.183995
292,19.497,0.181984
293,19.564,0.181418
294,19.631,0.180475
295,19.698,0.179155
296,19.765,0.180412
297,19.832,0.180035
298,19.899,0.180224
299,19.966,0.180538
300,20.033,0.181481
301,20.1,0.181418
302,20.167,0.181104
303,20.234,0.181355
304,20.301,0.181104
305,20.368,0.18079
306,20.435,0.181041
307,20.502,0.180538
308,20.569,0.180412
309,20.636,0.180161
310,20.703,0.180035
311,20.77,0.180538
312,20.837,0.18035
313,20.904,0.180412
314,20.971,0.181292
315,21.038,0.18255
316,21.105,0.185441
317,21.172,0.187704
318,21.239,0.19047
319,21.306,0.191225
320,21.373,0.192545
321,21.44,0.194933
322,21.507,0.195562
323,21.574,0.196128
324,21.641,0.196819
325,21.708,0.196128
326,21.775,0.195499
327,21.842,0.196631
328,21.909,0.195813
329,21.976,0.196002
330,22.043,0.196253
331,22.11,0.196065
332,22.177,0.193362
333,22.244,0.194116
334,22.311,0.195122
335,22.378,0.195311
336,22.445,0.194556
337,22.512,0.195751
338,22.579,0.195499
339,22.646,0.196442
340,22.713,0.195813
341,22.78,0.194933
342,22.847,0.195876
343,22.914,0.196191
344,22.981,0.196631
345,23.048,0.196191
346,23.115,0.195248
347,23.182,0.194242
348,23.249,0.194933
349,23.316,0.194305
350,23.383,0.191853
351,23.45,0.191413
352,23.517,0.190785
353,23.584,0.191287
354,23.651,0.191853
355,23.718,0.191099
356,23.785,0.191476
357,23.852,0.191225
358,23.919,0.193173
359,23.986,0.195436
360,24.053,0.197888
361,24.12,0.200779
362,24.187,0.203042
363,24.254,0.204048
364,24.321,0.206374
365,24.388,0.203294
366,24.455,0.205306
367,24.522,0.202477
368,24.589,0.202477
369,24.656,0.203168
370,24.723,0.203985
371,24.79,0.200779
372,24.857,0.199899
373,24.924,0.198454
