,,Time,Density
538,0.521013,35.8,0.521013
541,0.521439,36,0.521439
544,0.522828,36.2,0.522828
547,0.529937,36.4,0.529937
550,0.529203,36.6,0.529203
553,0.526921,36.8,0.526921
556,0.525972,37,0.525972
559,0.524061,37.2,0.524061
562,0.522995,37.4,0.522995
565,0.52392,37.6,0.52392
568,0.521122,37.8,0.521122
571,0.517919,38,0.517919
574,0.517779,38.2,0.517779
577,0.516795,38.4,0.516795
580,0.515976,38.6,0.515976
583,0.515426,38.8,0.515426
586,0.517744,39,0.517744
589,0.520838,39.2,0.520838
592,0.523885,39.4,0.523885
595,0.543152,39.6,0.543152
598,0.55506,39.8,0.55506
601,0.561569,40,0.561569
604,0.567211,40.2,0.567211
607,0.573255,40.4,0.573255
610,0.582759,40.6,0.582759
613,0.585038,40.8,0.585038
616,0.585549,41,0.585549
619,0.58608,41.2,0.58608
622,0.593934,41.4,0.593934
625,0.592721,41.6,0.592721
628,0.591925,41.8,0.591925
631,0.594399,42,0.594399
634,0.595628,42.2,0.595628
637,0.596673,42.4,0.596673
640,0.598476,42.6,0.598476
643,0.597438,42.8,0.597438
646,0.605047,43,0.605047
649,0.60317,43.2,0.60317
652,0.601398,43.4,0.601398
655,0.601473,43.6,0.601473
658,0.600497,43.8,0.600497
661,0.599787,44,0.599787
664,0.598195,44.2,0.598195
667,0.596568,44.4,0.596568
670,0.595444,44.6,0.595444
673,0.594207,44.8,0.594207
676,0.592303,45,0.592303
679,0.591745,45.2,0.591745
682,0.590817,45.4,0.590817
685,0.589303,45.6,0.589303
688,0.588202,45.8,0.588202
691,0.586794,46,0.586794
694,0.586103,46.2,0.586103
697,0.587473,46.4,0.587473
700,0.586884,46.6,0.586884
703,0.586919,46.8,0.586919
706,0.588616,47,0.588616
709,0.590536,47.2,0.590536
712,0.597676,47.4,0.597676
715,0.599717,47.6,0.599717
718,0.610193,47.8,0.610193
721,0.637358,48,0.637358
724,0.637354,48.2,0.637354
727,0.639515,48.4,0.639515
730,0.63934,48.6,0.63934
733,0.641946,48.8,0.641946
736,0.643952,49,0.643952
739,0.645856,49.2,0.645856
742,0.652493,49.4,0.652493
745,0.667312,49.6,0.667312
748,0.674846,49.8,0.674846
751,0.682779,50,0.682779
754,0.687051,50.2,0.687051
757,0.691019,50.4,0.691019
760,0.691901,50.6,0.691901
763,0.694554,50.8,0.694554
766,0.695159,51,0.695159
769,0.695674,51.2,0.695674
772,0.706556,51.4,0.706556
775,0.706587,51.6,0.706587
778,0.70578,51.8,0.70578
781,0.703813,52,0.703813
784,0.703029,52.2,0.703029
787,0.701289,52.4,0.701289
790,0.700068,52.6,0.700068
793,0.700575,52.8,0.700575
796,0.696134,53,0.696134
799,0.696747,53.2,0.696747
802,0.691854,53.4,0.691854
805,0.685818,53.6,0.685818
808,0.686048,53.8,0.686048
811,0.684901,54,0.684901
814,0.696123,54.2,0.696123
817,0.700481,54.4,0.700481
820,0.712292,54.6,0.712292
823,0.714157,54.8,0.714157
826,0.717126,55,0.717126
829,0.720053,55.2,0.720053
832,0.721204,55.4,0.721204
835,0.722987,55.6,0.722987
838,0.722725,55.8,0.722725
841,0.722741,56,0.722741
844,0.722881,56.2,0.722881
