frame,time,Qdensity
291,19.43,0.240353
292,19.497,0.239856
293,19.564,0.238885
294,19.631,0.238392
295,19.698,0.237194
296,19.765,0.236725
297,19.832,0.236916
298,19.899,0.235746
299,19.966,0.235844
300,20.033,0.235668
301,20.1,0.235457
302,20.167,0.235836
303,20.234,0.235856
304,20.301,0.235872
305,20.368,0.235746
306,20.435,0.235805
307,20.502,0.235414
308,20.569,0.235335
309,20.636,0.235437
310,20.703,0.235527
311,20.77,0.235601
312,20.837,0.235688
313,20.904,0.235778
314,20.971,0.236279
315,21.038,0.238004
316,21.105,0.239253
317,21.172,0.242114
318,21.239,0.244169
319,21.306,0.244063
320,21.373,0.246924
321,21.44,0.249464
322,21.507,0.250247
323,21.574,0.251655
324,21.641,0.252391
325,21.708,0.252387
326,21.775,0.252149
327,21.842,0.251976
328,21.909,0.251785
329,21.976,0.252207
330,22.043,0.251992
331,22.11,0.251632
332,22.177,0.251025
333,22.244,0.251029
334,22.311,0.250313
335,22.378,0.249045
336,22.445,0.248235
337,22.512,0.24802
338,22.579,0.247339
339,22.646,0.247116
340,22.713,0.246724
341,22.78,0.246576
342,22.847,0.244943
343,22.914,0.245057
344,22.981,0.245284
345,23.048,0.244869
346,23.115,0.244728
347,23.182,0.244736
348,23.249,0.245124
349,23.316,0.245073
350,23.383,0.244826
351,23.45,0.245202
352,23.517,0.245292
353,23.584,0.246141
354,23.651,0.24681
355,23.718,0.247566
356,23.785,0.248947
357,23.852,0.250888
358,23.919,0.254156
359,23.986,0.256113
360,24.053,0.257741
361,24.12,0.259377
362,24.187,0.26135
363,24.254,0.262219
364,24.321,0.263029
365,24.388,0.261612
366,24.455,0.262633
367,24.522,0.262234
368,24.589,0.26288
369,24.656,0.262677
370,24.723,0.26277
371,24.79,0.262923
372,24.857,0.263538
373,24.924,0.265385
374,24.991,0.266625
375,25.058,0.269752
376,25.125,0.274175
377,25.192,0.276226
378,25.259,0.280503
379,25.326,0.285337
380,25.393,0.287959
381,25.46,0.292765
382,25.527,0.298248
383,25.594,0.305402
384,25.661,0.309801
385,25.728,0.311735
386,25.795,0.316455
387,25.862,0.320928
388,25.929,0.3222
389,25.996,0.32627
390,26.063,0.330846
391,26.13,0.332775
392,26.197,0.339213
393,26.264,0.345706
394,26.331,0.354073
395,26.398,0.360394
396,26.465,0.362316
397,26.532,0.367004
398,26.599,0.370957
399,26.666,0.372937
400,26.733,0.377497
401,26.8,0.382256
402,26.867,0.386749
403,26.934,0.388921
404,27.001,0.389684
405,27.068,0.392385
406,27.135,0.394839
407,27.202,0.396255
408,27.269,0.398795
409,27.336,0.40015
410,27.403,0.401292
411,27.47,0.404619
412,27.537,0.406447
413,27.604,0.411096
414,27.671,0.414192
415,27.738,0.414693
416,27.805,0.417616
417,27.872,0.420509
418,27.939,0.421648
419,28.006,0.424567
420,28.073,0.426802
421,28.14,0.427679
422,28.207,0.429009
423,28.274,0.431111
424,28.341,0.431627
425,28.408,0.433107
426,28.475,0.435075
427,28.542,0.43823
428,28.609,0.439842
429,28.676,0.440625
430,28.743,0.442257
431,28.81,0.442457
432,28.877,0.442969
433,28.944,0.443952
434,29.011,0.447247
435,29.078,0.447478
436,29.145,0.447435
437,29.212,0.447548
438,29.279,0.447858
439,29.346,0.447427
440,29.413,0.447075
441,29.48,0.447995
442,29.547,0.447545
443,29.614,0.447537
444,29.681,0.447239
445,29.748,0.447177
446,29.815,0.44675
447,29.882,0.446785
448,29.949,0.446327
449,30.016,0.446644
450,30.083,0.446089
451,30.15,0.446159
452,30.217,0.445756
453,30.284,0.445897
454,30.351,0.445599
455,30.418,0.446327
456,30.485,0.446143
457,30.552,0.444124
458,30.619,0.44383
459,30.686,0.444566
460,30.753,0.44331
461,30.82,0.444371
462,30.887,0.444934
463,30.954,0.446288
464,31.021,0.446977
465,31.088,0.447282
466,31.155,0.447458
467,31.222,0.446985
468,31.289,0.44711
469,31.356,0.447501
470,31.423,0.447854
471,31.49,0.44857
472,31.557,0.448867
473,31.624,0.448801
474,31.691,0.449987
475,31.758,0.452237
476,31.825,0.453623
477,31.892,0.458659
478,31.959,0.466945
479,32.026,0.470498
480,32.093,0.492814
481,32.16,0.494752
482,32.227,0.501061
483,32.294,0.507914
484,32.361,0.510536
485,32.428,0.512356
486,32.495,0.51324
487,32.562,0.514864
488,32.629,0.51562
489,32.696,0.516375
490,32.763,0.517424
491,32.83,0.517436
492,32.897,0.515827
493,32.964,0.516242
494,33.031,0.517107
495,33.098,0.516704
496,33.165,0.516911
497,33.232,0.516582
498,33.299,0.516653
499,33.366,0.516434
500,33.433,0.518128
501,33.5,0.518156
502,33.567,0.518457
503,33.634,0.52495
504,33.701,0.525067
505,33.768,0.524758
506,33.835,0.525267
507,33.902,0.523709
508,33.969,0.522445
509,34.036,0.522555
510,34.103,0.521518
511,34.17,0.520833
512,34.237,0.521083
513,34.304,0.520355
514,34.371,0.520253
515,34.438,0.520246
516,34.505,0.520786
517,34.572,0.521071
518,34.639,0.521388
519,34.706,0.521897
520,34.773,0.521056
521,34.84,0.521467
522,34.907,0.520555
523,34.974,0.520559
524,35.041,0.518359
525,35.108,0.518406
526,35.175,0.515451
527,35.242,0.515667
528,35.309,0.516379
