frame,time,Qdensity
1,0,0.178652
2,0.067,0.177071
3,0.134,0.178125
4,0.201,0.178953
5,0.268,0.181251
6,0.335,0.181877
7,0.402,0.183172
8,0.469,0.188291
9,0.536,0.190688
10,0.603,0.160771
11,0.67,0.198082
12,0.737,0.2007
13,0.804,0.203949
14,0.871,0.204773
15,0.938,0.204108
16,1.005,0.2041
17,1.072,0.202412
18,1.139,0.201457
19,1.206,0.196984
20,1.273,0.192471
21,1.34,0.192982
22,1.407,0.192364
23,1.474,0.193133
24,1.541,0.193957
25,1.608,0.191215
26,1.675,0.192693
27,1.742,0.196255
28,1.809,0.200803
29,1.876,0.202777
30,1.943,0.205364
31,2.01,0.207293
32,2.077,0.207828
33,2.144,0.209092
34,2.211,0.209476
35,2.278,0.210197
36,2.345,0.210154
37,2.412,0.208862
38,2.479,0.207464
39,2.546,0.20788
40,2.613,0.208066
41,2.68,0.207123
42,2.747,0.20759
43,2.814,0.207262
44,2.881,0.207297
45,2.948,0.205423
46,3.015,0.20494
47,3.082,0.170969
48,3.149,0.204104
49,3.216,0.205213
50,3.283,0.206418
51,3.35,0.207769
52,3.417,0.208795
53,3.484,0.209421
54,3.551,0.209599
55,3.618,0.1782
56,3.685,0.211461
57,3.752,0.211608
58,3.819,0.213549
59,3.886,0.213767
60,3.953,0.210031
61,4.02,0.209124
62,4.087,0.208383
63,4.154,0.207
64,4.221,0.204187
65,4.288,0.203644
66,4.355,0.199662
67,4.422,0.199132
68,4.489,0.199064
69,4.556,0.198716
70,4.623,0.199777
71,4.69,0.198573
72,4.757,0.197721
73,4.824,0.197939
74,4.891,0.198723
75,4.958,0.20078
76,5.025,0.201933
77,5.092,0.204037
78,5.159,0.207341
79,5.226,0.210982
80,5.293,0.218724
81,5.36,0.227302
82,5.427,0.231264
83,5.494,0.238086
84,5.561,0.244659
85,5.628,0.257877
86,5.695,0.263796
87,5.762,0.267251
88,5.829,0.271601
89,5.896,0.277417
90,5.963,0.280559
91,6.03,0.283075
92,6.097,0.283784
93,6.164,0.285634
94,6.231,0.28235
95,6.298,0.28128
96,6.365,0.277275
97,6.432,0.27195
98,6.499,0.270923
99,6.566,0.264596
100,6.633,0.261522
101,6.7,0.25964
102,6.767,0.253994
103,6.834,0.252132
104,6.901,0.2529
105,6.968,0.24975
106,7.035,0.251601
107,7.102,0.255864
108,7.169,0.259295
109,7.236,0.260717
110,7.303,0.264525
111,7.37,0.267231
112,7.437,0.263701
113,7.504,0.267112
114,7.571,0.270484
115,7.638,0.271482
116,7.705,0.273661
117,7.772,0.276237
118,7.839,0.275547
119,7.906,0.274141
120,7.973,0.273051
121,8.04,0.273083
122,8.107,0.275912
123,8.174,0.275793
124,8.241,0.275115
125,8.308,0.273043
126,8.375,0.272809
127,8.442,0.270666
128,8.509,0.268225
129,8.576,0.264137
130,8.643,0.260646
131,8.71,0.260028
132,8.777,0.257702
133,8.844,0.25773
134,8.911,0.257611
135,8.978,0.25563
136,9.045,0.256098
137,9.112,0.255951
138,9.179,0.255194
139,9.246,0.254901
140,9.313,0.250824
141,9.38,0.248142
142,9.447,0.247187
143,9.514,0.244873
144,9.581,0.242872
145,9.648,0.241961
146,9.715,0.240059
147,9.782,0.23849
148,9.849,0.237963
149,9.916,0.237084
150,9.983,0.23748
151,10.05,0.23641
152,10.117,0.23536
153,10.184,0.235527
154,10.251,0.235166
155,10.318,0.235257
156,10.385,0.23521
157,10.452,0.235269
158,10.519,0.236367
159,10.586,0.236763
160,10.653,0.237044
161,10.72,0.237769
162,10.787,0.238399
163,10.854,0.23895
164,10.921,0.23876
165,10.988,0.237531
166,11.055,0.236589
167,11.122,0.236684
168,11.189,0.236565
169,11.256,0.23666
170,11.323,0.236664
171,11.39,0.237163
172,11.457,0.236981
173,11.524,0.237306
174,11.591,0.237591
175,11.658,0.238086
176,11.725,0.238288
177,11.792,0.238863
178,11.859,0.239081
179,11.926,0.220903
180,11.993,0.238665
181,12.06,0.237345
182,12.127,0.237543
183,12.194,0.23792
184,12.261,0.237924
185,12.328,0.238217
186,12.395,0.238011
187,12.462,0.237793
188,12.529,0.237785
189,12.596,0.176227
190,12.663,0.237749
191,12.73,0.23748
192,12.797,0.237421
193,12.864,0.237611
194,12.931,0.237278
195,12.998,0.237119
196,13.065,0.237147
197,13.132,0.237357
198,13.199,0.236529
199,13.266,0.236517
200,13.333,0.236347
201,13.4,0.236224
202,13.467,0.236165
203,13.534,0.236192
204,13.601,0.237001
205,13.668,0.236953
206,13.735,0.236917
207,13.802,0.236553
208,13.869,0.236287
209,13.936,0.23626
210,14.003,0.236418
211,14.07,0.236347
212,14.137,0.236228
213,14.204,0.235935
214,14.271,0.235887
215,14.338,0.235955
216,14.405,0.236279
217,14.472,0.236303
218,14.539,0.236153
219,14.606,0.235721
220,14.673,0.234457
221,14.74,0.200966
222,14.807,0.234409
223,14.874,0.233672
224,14.941,0.231771
225,15.008,0.231481
226,15.075,0.231481
227,15.142,0.231814
228,15.209,0.232741
229,15.276,0.232892
230,15.343,0.2337
231,15.41,0.234314
232,15.477,0.234667
233,15.544,0.234465
234,15.611,0.233704
235,15.678,0.233783
236,15.745,0.233684
237,15.812,0.23418
238,15.879,0.233791
239,15.946,0.233993
240,16.013,0.234409
241,16.08,0.234192
242,16.147,0.234572
243,16.214,0.234211
244,16.281,0.234497
245,16.348,0.234085
246,16.415,0.233942
247,16.482,0.23414
248,16.549,0.234104
249,16.616,0.234077
250,16.683,0.232488
251,16.75,0.23206
252,16.817,0.231933
253,16.884,0.232119
254,16.951,0.231577
255,17.018,0.231509
256,17.085,0.235293
257,17.152,0.238261
258,17.219,0.239501
259,17.286,0.241711
260,17.353,0.244655
261,17.42,0.24563
262,17.487,0.247916
263,17.554,0.250741
264,17.621,0.251173
265,17.688,0.25313
266,17.755,0.254259
267,17.822,0.252912
268,17.889,0.252199
269,17.956,0.251783
270,18.023,0.251137
271,18.09,0.250123
272,18.157,0.249616
273,18.224,0.248387
274,18.291,0.247872
275,18.358,0.246323
276,18.425,0.24515
277,18.492,0.244057
278,18.559,0.24208
279,18.626,0.241109
280,18.693,0.240459
281,18.76,0.240871
282,18.827,0.241081
283,18.894,0.240745
284,18.961,0.241224
285,19.028,0.242013
286,19.095,0.242076
287,19.162,0.242397
288,19.229,0.193672
289,19.296,0.24061
290,19.363,0.239893
291,19.43,0.239295
292,19.497,0.238791
293,19.564,0.237801
294,19.631,0.23729
295,19.698,0.236062
296,19.765,0.235618
297,19.832,0.235776
298,19.899,0.234588
299,19.966,0.234703
300,20.033,0.234524
301,20.1,0.234306
302,20.167,0.234679
303,20.234,0.234683
304,20.301,0.234703
305,20.368,0.234584
306,20.435,0.234675
307,20.502,0.234291
308,20.569,0.200883
309,20.636,0.234306
310,20.703,0.234386
311,20.77,0.234465
312,20.837,0.234568
313,20.904,0.234647
314,20.971,0.235158
315,21.038,0.236905
316,21.105,0.238169
317,21.172,0.241058
318,21.239,0.243158
319,21.306,0.242991
320,21.373,0.245883
321,21.44,0.248479
322,21.507,0.249259
323,21.574,0.250681
324,21.641,0.251434
325,21.708,0.251418
326,21.775,0.251189
327,21.842,0.251006
328,21.909,0.250816
329,21.976,0.251232
330,22.043,0.251006
331,22.11,0.250638
332,22.177,0.25002
333,22.244,0.250024
334,22.311,0.249299
335,22.378,0.248011
336,22.445,0.247183
337,22.512,0.246945
338,22.579,0.24626
339,22.646,0.246026
340,22.713,0.245566
341,22.78,0.245448
342,22.847,0.243776
343,22.914,0.243875
344,22.981,0.244085
345,23.048,0.243688
346,23.115,0.243486
347,23.182,0.243526
348,23.249,0.243895
349,23.316,0.243815
350,23.383,0.243554
351,23.45,0.243906
352,23.517,0.244033
353,23.584,0.244897
354,23.651,0.245539
355,23.718,0.246284
356,23.785,0.247722
357,23.852,0.249723
358,23.919,0.253063
359,23.986,0.255056
360,24.053,0.256728
361,24.12,0.258384
362,24.187,0.260325
363,24.254,0.261244
364,24.321,0.262045
365,24.388,0.260694
366,24.455,0.261736
367,24.522,0.26111
368,24.589,0.26164
369,24.656,0.261395
370,24.723,0.261498
371,24.79,0.261652
372,24.857,0.262247
373,24.924,0.264121
374,24.991,0.265389
375,25.058,0.268554
376,25.125,0.273027
377,25.192,0.275088
378,25.259,0.279426
379,25.326,0.284331
380,25.393,0.286989
381,25.46,0.291859
382,25.527,0.297398
383,25.594,0.30464
384,25.661,0.309086
385,25.728,0.311027
386,25.795,0.31577
387,25.862,0.320294
388,25.929,0.321566
389,25.996,0.325687
390,26.063,0.33033
391,26.13,0.332291
392,26.197,0.338801
393,26.264,0.345386
394,26.331,0.353872
395,26.398,0.360291
396,26.465,0.303571
397,26.532,0.366963
398,26.599,0.370973
399,26.666,0.372997
400,26.733,0.377653
401,26.8,0.382478
402,26.867,0.387035
403,26.934,0.389242
404,27.001,0.390042
405,27.068,0.392776
406,27.135,0.395272
407,27.202,0.39669
408,27.269,0.399273
409,27.336,0.400644
410,27.403,0.401813
411,27.47,0.405244
412,27.537,0.40709
413,27.604,0.411781
414,27.671,0.414911
415,27.738,0.415399
416,27.805,0.418351
417,27.872,0.421275
418,27.939,0.422431
419,28.006,0.425391
420,28.073,0.427653
421,28.14,0.428541
422,28.207,0.429884
423,28.274,0.432012
424,28.341,0.432554
425,28.408,0.434032
426,28.475,0.436029
427,28.542,0.439219
428,28.609,0.440855
429,28.676,0.441635
430,28.743,0.443291
431,28.81,0.443498
432,28.877,0.444005
433,28.944,0.445011
434,29.011,0.448363
435,29.078,0.448577
436,29.145,0.448537
437,29.212,0.44864
438,29.279,0.448937
439,29.346,0.448517
440,29.413,0.448173
441,29.48,0.449088
442,29.547,0.448652
443,29.614,0.386539
444,29.681,0.448343
445,29.748,0.448236
446,29.815,0.447693
447,29.882,0.447642
448,29.949,0.447119
449,30.016,0.44738
450,30.083,0.446818
451,30.15,0.446889
452,30.217,0.446521
453,30.284,0.446683
454,30.351,0.344772
455,30.418,0.447131
456,30.485,0.446941
457,30.552,0.444908
458,30.619,0.444579
459,30.686,0.44534
460,30.753,0.444072
461,30.82,0.445146
462,30.887,0.445704
463,30.954,0.447067
464,31.021,0.447777
465,31.088,0.448105
466,31.155,0.448276
467,31.222,0.447808
468,31.289,0.447935
469,31.356,0.448331
470,31.423,0.448696
471,31.49,0.449448
472,31.557,0.449746
473,31.624,0.449682
474,31.691,0.450891
475,31.758,0.453165
476,31.825,0.454571
477,31.892,0.459671
478,31.959,0.468058
479,32.026,0.471648
480,32.093,0.494152
481,32.16,0.496066
482,32.227,0.50248
483,32.294,0.509406
484,32.361,0.512041
485,32.428,0.513867
486,32.495,0.514763
487,32.562,0.516407
488,32.629,0.517179
489,32.696,0.51798
490,32.763,0.519053
491,32.83,0.519196
492,32.897,0.517568
493,32.964,0.517984
494,33.031,0.518903
495,33.098,0.518522
496,33.165,0.51876
497,33.232,0.518423
498,33.299,0.518491
499,33.366,0.518265
500,33.433,0.519969
501,33.5,0.519981
502,33.567,0.520282
503,33.634,0.526744
504,33.701,0.526851
505,33.768,0.526538
506,33.835,0.527116
507,33.902,0.52546
508,33.969,0.524125
509,34.036,0.5242
510,34.103,0.523111
511,34.17,0.522358
512,34.237,0.522611
513,34.304,0.521894
514,34.371,0.521791
515,34.438,0.521748
516,34.505,0.522207
517,34.572,0.522409
518,34.639,0.522698
519,34.706,0.523249
520,34.773,0.522393
521,34.84,0.522809
522,34.907,0.521894
523,34.974,0.52189
524,35.041,0.519664
525,35.108,0.519699
526,35.175,0.516684
527,35.242,0.516811
528,35.309,0.517421
529,35.376,0.517294
530,35.443,0.517528
531,35.51,0.517603
532,35.577,0.416469
533,35.644,0.517362
534,35.711,0.517845
535,35.778,0.518526
536,35.845,0.518526
537,35.912,0.519275
538,35.979,0.519537
539,36.046,0.519905
540,36.113,0.520761
541,36.18,0.521102
542,36.247,0.522005
543,36.314,0.524458
544,36.381,0.525999
545,36.448,0.526835
546,36.515,0.528237
547,36.582,0.531708
548,36.649,0.533071
549,36.716,0.544343
550,36.783,0.548765
551,36.85,0.552029
552,36.917,0.557968
553,36.984,0.5597
554,37.051,0.564034
555,37.118,0.566142
556,37.185,0.567244
557,37.252,0.569197
558,37.319,0.57058
559,37.386,0.571261
560,37.453,0.574811
561,37.52,0.582291
562,37.587,0.584114
563,37.654,0.586903
564,37.721,0.588718
565,37.788,0.59054
566,37.855,0.591483
567,37.922,0.591368
568,37.989,0.591776
569,38.056,0.592339
570,38.123,0.592478
571,38.19,0.592529
572,38.257,0.600366
573,38.324,0.599974
574,38.391,0.599471
575,38.458,0.599082
576,38.525,0.598536
577,38.592,0.598476
578,38.659,0.59833
579,38.726,0.598238
580,38.793,0.598401
581,38.86,0.598702
582,38.927,0.600097
583,38.994,0.600501
584,39.061,0.60245
585,39.128,0.60327
586,39.195,0.603456
587,39.262,0.60459
588,39.329,0.605069
589,39.396,0.608373
590,39.463,0.609142
591,39.53,0.609625
592,39.597,0.610121
593,39.664,0.608976
594,39.731,0.609752
595,39.798,0.619063
596,39.865,0.619534
597,39.932,0.618877
598,39.999,0.619459
599,40.066,0.619455
600,40.133,0.619027
601,40.2,0.618366
602,40.267,0.617597
603,40.334,0.618195
604,40.401,0.622443
605,40.468,0.623199
606,40.535,0.622839
607,40.602,0.622902
608,40.669,0.622538
609,40.736,0.62211
610,40.803,0.621305
611,40.87,0.620014
612,40.937,0.618896
613,41.004,0.616864
614,41.071,0.616919
615,41.138,0.616515
616,41.205,0.616012
617,41.272,0.615469
618,41.339,0.611285
619,41.406,0.610275
620,41.473,0.61083
621,41.54,0.610061
622,41.607,0.609875
623,41.674,0.609376
624,41.741,0.608861
625,41.808,0.609558
626,41.875,0.611377
627,41.942,0.612117
628,42.009,0.612415
629,42.076,0.611793
630,42.143,0.611709
631,42.21,0.611131
632,42.277,0.61085
633,42.344,0.608639
634,42.411,0.607557
635,42.478,0.607359
636,42.545,0.606781
637,42.612,0.605065
638,42.679,0.604708
639,42.746,0.604891
640,42.813,0.604689
641,42.88,0.608195
642,42.947,0.607609
643,43.014,0.607918
644,43.081,0.606325
645,43.148,0.605814
646,43.215,0.606349
647,43.282,0.607763
648,43.349,0.607264
649,43.416,0.608865
650,43.483,0.608995
651,43.55,0.610727
652,43.617,0.612268
653,43.684,0.612379
654,43.751,0.61291
655,43.818,0.618774
656,43.885,0.624261
657,43.952,0.625406
658,44.019,0.627554
659,44.086,0.628405
660,44.153,0.632716
661,44.22,0.633687
662,44.287,0.635192
663,44.354,0.636702
664,44.421,0.656623
665,44.488,0.656199
666,44.555,0.656393
667,44.622,0.656223
668,44.689,0.656563
669,44.756,0.657843
670,44.823,0.657693
671,44.89,0.657586
672,44.957,0.657213
673,45.024,0.657598
674,45.091,0.65795
675,45.158,0.658283
676,45.225,0.660537
677,45.292,0.662011
678,45.359,0.662919
679,45.426,0.664396
680,45.493,0.665189
681,45.56,0.666742
682,45.627,0.669595
683,45.694,0.67045
684,45.761,0.671076
685,45.828,0.672606
686,45.895,0.672289
687,45.962,0.683359
688,46.029,0.684947
689,46.096,0.687135
690,46.163,0.6891
691,46.23,0.690257
692,46.297,0.69244
693,46.364,0.693343
694,46.431,0.693513
695,46.498,0.693933
696,46.565,0.694492
697,46.632,0.694425
698,46.699,0.694967
699,46.766,0.695455
700,46.833,0.695376
701,46.9,0.695574
702,46.967,0.695986
703,47.034,0.696877
704,47.101,0.697376
705,47.168,0.697091
706,47.235,0.697115
707,47.302,0.697281
708,47.369,0.69765
709,47.436,0.697836
710,47.503,0.70517
711,47.57,0.705598
712,47.637,0.706156
713,47.704,0.706041
714,47.771,0.705804
715,47.838,0.705499
716,47.905,0.705479
717,47.972,0.705415
718,48.039,0.705792
719,48.106,0.705483
720,48.173,0.70513
721,48.24,0.704247
722,48.307,0.704603
723,48.374,0.706766
724,48.441,0.705629
725,48.508,0.704948
726,48.575,0.703977
727,48.642,0.703474
728,48.709,0.703363
729,48.776,0.704068
730,48.843,0.703248
731,48.91,0.702959
732,48.977,0.702448
733,49.044,0.698719
734,49.111,0.698925
735,49.178,0.700118
736,49.245,0.699298
737,49.312,0.698914
738,49.379,0.696976
739,49.446,0.695332
740,49.513,0.693723
741,49.58,0.691481
742,49.647,0.691251
743,49.714,0.691782
744,49.781,0.691588
745,49.848,0.69152
746,49.915,0.689876
747,49.982,0.689928
748,50.049,0.692463
749,50.116,0.695792
750,50.183,0.701362
751,50.25,0.703343
752,50.317,0.703628
753,50.384,0.704449
754,50.451,0.704258
755,50.518,0.581582
756,50.585,0.713557
757,50.652,0.713034
758,50.719,0.713343
759,50.786,0.71599
760,50.853,0.716418
761,50.92,0.717408
762,50.987,0.718866
763,51.054,0.719413
764,51.121,0.719587
765,51.188,0.720158
766,51.255,0.72061
767,51.322,0.720602
768,51.389,0.721228
769,51.456,0.721834
770,51.523,0.721866
771,51.59,0.72206
772,51.657,0.72185
773,51.724,0.72166
774,51.791,0.72162
775,51.858,0.721406
776,51.925,0.721477
777,51.992,0.721422
778,52.059,0.721339
779,52.126,0.721846
780,52.193,0.721751
781,52.26,0.722068
782,52.327,0.72225
783,52.394,0.72183
784,52.461,0.722032
785,52.528,0.721862
786,52.595,0.72179
787,52.662,0.721608
788,52.729,0.721798
789,52.796,0.721497
790,52.863,0.721426
791,52.93,0.721462
792,52.997,0.721279
793,53.064,0.721212
794,53.131,0.720931
795,53.198,0.720677
796,53.265,0.720558
797,53.332,0.720075
798,53.399,0.720067
799,53.466,0.720091
800,53.533,0.719857
801,53.6,0.719774
802,53.667,0.719524
803,53.734,0.719536
804,53.801,0.719655
805,53.868,0.719556
806,53.935,0.7195
807,54.002,0.719417
808,54.069,0.719124
809,54.136,0.719057
810,54.203,0.718989
811,54.27,0.718997
812,54.337,0.718874
813,54.404,0.719001
814,54.471,0.718981
815,54.538,0.718997
816,54.605,0.718997
817,54.672,0.719017
818,54.739,0.719013
819,54.806,0.719013
820,54.873,0.719013
821,54.94,0.719013
822,55.007,0.719013
823,55.074,0.719813
824,55.141,0.719897
825,55.208,0.722131
826,55.275,0.722226
827,55.342,0.722393
828,55.409,0.722634
829,55.476,0.723106
830,55.543,0.723102
831,55.61,0.723066
832,55.677,0.723443
833,55.744,0.723534
834,55.811,0.723748
835,55.878,0.72393
836,55.945,0.723962
837,56.012,0.723973
838,56.079,0.723886
839,56.146,0.723736
840,56.213,0.723656
841,56.28,0.723617
842,56.347,0.723522
843,56.414,0.723379
844,56.481,0.723605
845,56.548,0.723605
846,56.615,0.723209
847,56.682,0.599716
848,56.749,0.721549
849,56.816,0.72145
850,56.883,0.721509
851,56.95,0.721454
852,57.017,0.721406
853,57.084,0.721446
854,57.151,0.721568
855,57.218,0.721501
856,57.285,0.721465
857,57.352,0.721271
858,57.419,0.720796
859,57.486,0.720681
860,57.553,0.721081
861,57.62,0.721081
862,57.687,0.720935
863,57.754,0.720931
864,57.821,0.721172
865,57.888,0.720942
866,57.955,0.720732
867,58.022,0.720352
868,58.089,0.720499
869,58.156,0.720237
870,58.223,0.719972
871,58.29,0.719793
872,58.357,0.719651
873,58.424,0.719366
874,58.491,0.719259
875,58.558,0.719152
876,58.625,0.718958
877,58.692,0.719068
878,58.759,0.71914
879,58.826,0.719294
880,58.893,0.719298
881,58.96,0.720035
882,59.027,0.720083
883,59.094,0.72034
884,59.161,0.720015
885,59.228,0.719651
886,59.295,0.719469
887,59.362,0.719017
888,59.429,0.718862
889,59.496,0.718779
890,59.563,0.718902
891,59.63,0.718803
892,59.697,0.718637
893,59.764,0.718502
894,59.831,0.718375
895,59.898,0.718415
896,59.965,0.717939
897,60.032,0.717935
898,60.099,0.717139
899,60.166,0.717266
900,60.233,0.717539
901,60.3,0.716957
902,60.367,0.716632
903,60.434,0.716469
904,60.501,0.714334
905,60.568,0.714354
906,60.635,0.715158
907,60.702,0.715824
908,60.769,0.716144
909,60.836,0.716798
910,60.903,0.717008
911,60.97,0.717202
912,61.037,0.716957
913,61.104,0.595283
914,61.171,0.716794
915,61.238,0.716442
916,61.305,0.716454
917,61.372,0.716648
918,61.439,0.716608
919,61.506,0.716434
920,61.573,0.716176
921,61.64,0.716339
922,61.707,0.716945
923,61.774,0.717428
924,61.841,0.717488
925,61.908,0.717499
926,61.975,0.717575
927,62.042,0.71637
928,62.109,0.716489
929,62.176,0.716557
930,62.243,0.716699
931,62.31,0.716723
932,62.377,0.715546
933,62.444,0.715027
934,62.511,0.715241
935,62.578,0.715122
936,62.645,0.71475
937,62.712,0.714492
938,62.779,0.714516
939,62.846,0.714314
940,62.913,0.714679
941,62.98,0.71429
942,63.047,0.714647
943,63.114,0.714116
944,63.181,0.714096
945,63.248,0.714096
946,63.315,0.714053
947,63.382,0.714552
948,63.449,0.714421
949,63.516,0.714274
950,63.583,0.71412
951,63.65,0.714041
952,63.717,0.714104
953,63.784,0.71391
954,63.851,0.713823
955,63.918,0.714817
956,63.985,0.7149
957,64.052,0.71498
958,64.119,0.715102
959,64.186,0.715178
960,64.253,0.714948
961,64.32,0.715118
962,64.387,0.71517
963,64.454,0.715293
964,64.521,0.715372
965,64.588,0.715297
