time,Qdensity
0,0.17882
0.333333,0.184653
0.666667,0.201872
1,0.203944
1.33333,0.194127
1.66667,0.194841
2,0.208884
2.33333,0.211389
2.66667,0.209629
3,0.20744
3.33333,0.206667
3.66667,0.210581
4,0.215618
4.33333,0.208525
4.66667,0.201377
5,0.198243
5.33333,0.204798
5.66667,0.231342
6,0.262787
6.33333,0.281992
6.66667,0.281235
7,0.262569
7.33333,0.251082
7.66667,0.261492
8,0.271266
8.33333,0.276682
8.66667,0.276834
9,0.269034
9.33333,0.258608
9.66667,0.25766
10,0.249662
10.3333,0.241608
10.6667,0.238998
11,0.237086
11.3333,0.238432
11.6667,0.240012
12,0.238249
12.3333,0.239166
12.6667,0.240562
13,0.239575
13.3333,0.239372
13.6667,0.238904
14,0.238955
14.3333,0.237851
14.6667,0.238428
15,0.237726
15.3333,0.237449
15.6667,0.236828
16,0.233633
16.3333,0.234526
16.6667,0.235627
17,0.235603
17.3333,0.235802
17.6667,0.235615
18,0.233535
18.3333,0.23684
18.6667,0.246887
19,0.255553
19.3333,0.252385
19.6667,0.247613
20,0.242591
20.3333,0.242701
20.6667,0.243317
21,0.239267
21.3333,0.236251
21.6667,0.236029
22,0.235873
22.3333,0.236013
22.6667,0.239614
23,0.250087
23.3333,0.25299
23.6667,0.252732
24,0.249408
24.3333,0.247461
24.6667,0.245299
25,0.245295
25.3333,0.246407
25.6667,0.251964
26,0.261507
26.3333,0.262588
26.6667,0.263501
27,0.274926
27.3333,0.293491
27.6667,0.312434
28,0.33126
28.3333,0.354101
28.6667,0.372994
29,0.388906
29.3333,0.398898
29.6667,0.407388
30,0.420175
30.3333,0.428767
30.6667,0.435848
31,0.442259
31.3333,0.447616
31.6667,0.446848
32,0.446625
32.3333,0.446212
32.6667,0.445431
33,0.44478
33.3333,0.446485
33.6667,0.447234
34,0.449021
34.3333,0.459009
34.6667,0.495464
35,0.513132
35.3333,0.517451
35.6667,0.517127
36,0.517759
36.3333,0.524482
36.6667,0.522398
37,0.519792
37.3333,0.520986
37.6667,0.52003
38,0.516222
38.3333,0.515824
38.6667,0.517541
39,0.520588
39.3333,0.526577
39.6667,0.551034
40,0.564721
40.3333,0.573106
40.6667,0.588281
41,0.590563
41.3333,0.597941
41.6667,0.596708
42,0.59944
42.3333,0.603529
42.6667,0.609136
43,0.618129
43.3333,0.616658
43.6667,0.621953
44,0.619628
44.3333,0.615148
44.6667,0.610677
45,0.608652
45.3333,0.611574
45.6667,0.608113
46,0.604633
46.3333,0.606549
46.6667,0.607142
47,0.613311
47.3333,0.625356
47.6667,0.633569
48,0.655212
48.3333,0.656297
48.6667,0.657128
49,0.663246
49.3333,0.669317
49.6667,0.685284
50,0.691335
50.3333,0.693122
50.6667,0.693953
51,0.695448
51.3333,0.70432
51.6667,0.703903
52,0.702861
52.3333,0.703333
52.6667,0.702268
53,0.697859
53.3333,0.692677
53.6667,0.689162
54,0.690083
54.3333,0.7026
54.6667,0.711527
55,0.717029
55.3333,0.718765
55.6667,0.720201
56,0.719803
56.3333,0.72079
56.6667,0.720412
57,0.719951
57.3333,0.719296
57.6667,0.718652
58,0.718031
58.3333,0.717431
58.6667,0.719725
59,0.720271
59.3333,0.720287
59.6667,0.721262
60,0.722058
60.3333,0.722511
60.6667,0.721886
61,0.721703
61.3333,0.719924
61.6667,0.720017
62,0.719417
62.3333,0.719639
62.6667,0.718519
63,0.717696
63.3333,0.717555
63.6667,0.718874
64,0.71768
64.3333,0.717329
64.6667,0.716884
65,0.715882
65.3333,0.71404
65.6667,0.715686
66,0.715171
66.3333,0.714871
66.6667,0.716217
67,0.71532
67.3333,0.71338
67.6667,0.712998
68,0.713088
68.3333,0.713427
68.6667,0.712713
69,0.714044
69.3333,0.713958
69.6667,0.714297
70,0.714957
70.3333,0.715425
70.6667,0.71477
71,0.714473
71.3333,0.714317
71.6667,0.714399
72,0.714988
72.3333,0.712347
72.6667,0.712741
73,0.712912
73.3333,0.713431
73.6667,0.712963
74,0.713966
74.3333,0.714153
74.6667,0.714598
75,0.713197
75.3333,0.71047
75.6667,0.709104
76,0.708293
76.3333,0.706439
76.6667,0.708632
77,0.709553
77.3333,0.696763
77.6667,0.702522
78,0.707091
78.3333,0.709545
78.6667,0.710224
79,0.712869
79.3333,0.713384
79.6667,0.713931
80,0.71475
80.3333,0.714489
80.6667,0.716237
81,0.713669
81.3333,0.712854
81.6667,0.711878
82,0.710926
82.3333,0.708733
82.6667,0.708667
83,0.710267
83.3333,0.711808
83.6667,0.712144
84,0.711586
84.3333,0.712319
84.6667,0.71276
85,0.710661
85.3333,0.710224
85.6667,0.709057
86,0.707551
86.3333,0.7072
86.6667,0.706279
87,0.706545
87.3333,0.705218
87.6667,0.705175
88,0.706771
88.3333,0.706396
88.6667,0.705331
89,0.704235
89.3333,0.706119
89.6667,0.707028
90,0.705475
90.3333,0.705261
90.6667,0.705971
91,0.705916
91.3333,0.705405
91.6667,0.703318
92,0.705038
92.3333,0.702057
92.6667,0.701858
93,0.703645
93.3333,0.704637
93.6667,0.706189
94,0.709307
94.3333,0.710294
94.6667,0.711757
95,0.713806
95.3333,0.714348
95.6667,0.713423
96,0.709619
96.3333,0.712405
96.6667,0.714063
97,0.715722
97.3333,0.713739
97.6667,0.714563
98,0.715511
98.3333,0.726573
98.6667,0.734146
99,0.736842
99.3333,0.735586
99.6667,0.744174
100,0.746499
100.333,0.738079
100.667,0.742418
101,0.739644
101.333,0.742574
101.667,0.740627
102,0.745016
102.333,0.746889
102.667,0.756234
103,0.761201
103.333,0.758443
103.667,0.759629
104,0.761743
104.333,0.757237
104.667,0.757818
105,0.765669
105.333,0.765848
105.667,0.787558
106,0.787382
106.333,0.777831
106.667,0.754201
107,0.741314
107.333,0.748657
107.667,0.738344
108,0.727123
108.333,0.729967
108.667,0.726658
109,0.709354
109.333,0.711671
109.667,0.702627
110,0.692814
110.333,0.687929
110.667,0.684847
111,0.707953
111.333,0.717567
111.667,0.716514
112,0.714496
112.333,0.711098
112.667,0.713837
113,0.732246
113.333,0.726018
113.667,0.715519
114,0.725987
114.333,0.72747
114.667,0.73056
115,0.739815
115.333,0.743304
115.667,0.680574
116,0.633799
116.333,0.602877
116.667,0.531544
117,0.485448
117.333,0.466856
117.667,0.454296
118,0.469306
118.333,0.498433
118.667,0.490887
119,0.458584
119.333,0.411201
119.667,0.391727
120,0.390408
120.333,0.403494
120.667,0.413928
121,0.40836
121.333,0.388925
121.667,0.384122
122,0.362475
122.333,0.351249
122.667,0.348498
123,0.332716
123.333,0.316976
123.667,0.300124
124,0.298762
124.333,0.292796
124.667,0.270158
125,0.297794
125.333,0.338338
125.667,0.326558
126,0.35718
126.333,0.387942
126.667,0.425391
127,0.504594
127.333,0.561733
127.667,0.575092
128,0.559961
128.333,0.486646
128.667,0.429051
129,0.367414
129.333,0.332431
129.667,0.324373
130,0.298161
130.333,0.275554
130.667,0.256665
131,0.241729
131.333,0.219863
131.667,0.183818
132,0.155819
132.333,0.14377
132.667,0.143645
133,0.141897
133.333,0.15903
133.667,0.212356
134,0.264769
134.333,0.368019
134.667,0.415282
135,0.474905
135.333,0.562333
135.667,0.527151
136,0.445556
136.333,0.3726
136.667,0.331877
137,0.305114
137.333,0.254757
137.667,0.229973
138,0.216882
138.333,0.202297
138.667,0.175469
139,0.147114
139.333,0.143321
139.667,0.146767
140,0.163744
140.333,0.200904
140.667,0.25464
141,0.342037
141.333,0.443492
141.667,0.571042
142,0.672778
142.333,0.730205
142.667,0.738235
143,0.722039
143.333,0.663051
143.667,0.507376
144,0.43181
144.333,0.438802
144.667,0.418969
145,0.368132
145.333,0.268367
145.667,0.237238
146,0.217643
146.333,0.181981
146.667,0.167696
147,0.15171
147.333,0.148597
147.667,0.142061
148,0.1372
148.333,0.137656
148.667,0.138042
149,0.139607
149.333,0.142268
149.667,0.143524
150,0.141199
150.333,0.142842
150.667,0.143552
151,0.146646
151.333,0.17875
151.667,0.206402
152,0.219895
152.333,0.213671
152.667,0.218045
153,0.201946
153.333,0.212419
153.667,0.221202
154,0.229981
154.333,0.212719
154.667,0.203476
155,0.19147
155.333,0.178551
155.667,0.164032
156,0.15308
156.333,0.14743
156.667,0.161012
157,0.156763
157.333,0.146002
157.667,0.146318
158,0.142709
158.333,0.137215
158.667,0.134773
159,0.163104
159.333,0.218057
159.667,0.270525
160,0.254636
160.333,0.22732
160.667,0.202766
161,0.191805
161.333,0.186078
161.667,0.159096
162,0.142007
162.333,0.162308
162.667,0.165453
163,0.165062
163.333,0.159838
163.667,0.147016
164,0.161527
164.333,0.159826
164.667,0.153614
165,0.14702
165.333,0.153298
165.667,0.138546
166,0.140578
166.333,0.142135
166.667,0.140438
167,0.141328
167.333,0.167236
167.667,0.193023
168,0.193483
168.333,0.204814
168.667,0.198653
169,0.198001
169.333,0.17454
169.667,0.167934
170,0.184056
170.333,0.190701
170.667,0.169858
171,0.147301
171.333,0.130465
171.667,0.125318
172,0.12524
172.333,0.125123
172.667,0.125373
173,0.125014
173.333,0.124796
173.667,0.124655
174,0.123235
174.333,0.123937
174.667,0.123344
175,0.137422
175.333,0.160884
175.667,0.161886
176,0.184618
176.333,0.23485
176.667,0.277723
177,0.301521
177.333,0.312169
177.667,0.301337
178,0.290974
178.333,0.287236
178.667,0.265897
179,0.234261
179.333,0.248799
179.667,0.244808
180,0.225985
180.333,0.203928
180.667,0.183381
181,0.179015
181.333,0.174536
181.667,0.17349
182,0.188559
182.333,0.197026
182.667,0.202208
183,0.196609
183.333,0.192941
183.667,0.193581
184,0.194993
184.333,0.201131
184.667,0.20298
185,0.201704
185.333,0.201388
185.667,0.199371
186,0.199578
186.333,0.196679
186.667,0.190432
187,0.186417
187.333,0.185781
187.667,0.186452
188,0.186304
188.333,0.185145
188.667,0.184493
189,0.184856
189.333,0.181415
189.667,0.182636
190,0.190373
190.333,0.193628
190.667,0.185145
191,0.184056
191.333,0.187689
191.667,0.183221
192,0.189991
192.333,0.196035
192.667,0.195707
193,0.195442
193.333,0.195762
193.667,0.195653
194,0.193799
194.333,0.194697
194.667,0.196269
195,0.196928
195.333,0.1963
195.667,0.196843
196,0.206152
196.333,0.22142
196.667,0.244468
197,0.271547
197.333,0.33462
197.667,0.385265
198,0.44835
198.333,0.514833
198.667,0.550394
199,0.646121
199.333,0.674265
199.667,0.699685
200,0.744427
200.333,0.764662
200.667,0.77611
201,0.782501
201.333,0.788096
201.667,0.794823
202,0.800098
202.333,0.811862
202.667,0.809158
203,0.809412
203.333,0.80725
203.667,0.803949
204,0.804621
204.333,0.795034
204.667,0.794117
205,0.794113
205.333,0.795108
205.667,0.798225
206,0.800122
206.333,0.800473
206.667,0.798959
207,0.794948
207.333,0.790894
207.667,0.787956
208,0.787203
208.333,0.789033
208.667,0.786052
209,0.788689
209.333,0.787468
209.667,0.785548
210,0.785123
210.333,0.784522
210.667,0.785381
211,0.782673
211.333,0.782552
211.667,0.779727
212,0.777675
212.333,0.77522
212.667,0.771354
213,0.771837
213.333,0.770971
213.667,0.769492
214,0.769344
214.333,0.766032
214.667,0.763792
215,0.761166
215.333,0.760312
215.667,0.761143
216,0.760784
216.333,0.759722
216.667,0.759047
217,0.758536
217.333,0.761361
217.667,0.76007
218,0.758622
218.333,0.759395
218.667,0.762052
219,0.767795
219.333,0.769976
219.667,0.768626
220,0.768618
220.333,0.768923
220.667,0.769492
221,0.768868
221.333,0.769407
221.667,0.770398
222,0.769851
222.333,0.768747
222.667,0.76865
223,0.769243
223.333,0.769379
223.667,0.769621
224,0.769477
224.333,0.769247
224.667,0.769762
225,0.770472
225.333,0.770722
225.667,0.769469
226,0.770218
226.333,0.769134
226.667,0.769149
227,0.769461
227.333,0.77055
227.667,0.771166
228,0.7708
228.333,0.770936
228.667,0.771287
229,0.784405
229.333,0.784074
229.667,0.784202
230,0.784608
230.333,0.785201
230.667,0.786863
231,0.786497
231.333,0.785759
231.667,0.785069
232,0.784503
232.333,0.785268
232.667,0.784358
233,0.784518
233.333,0.785096
233.667,0.784608
234,0.784378
234.333,0.784081
234.667,0.785502
235,0.78682
235.333,0.787417
235.667,0.785299
236,0.785006
236.333,0.785755
236.667,0.785275
237,0.78531
237.333,0.784971
237.667,0.784436
238,0.784062
238.333,0.784265
238.667,0.784577
239,0.784971
239.333,0.784951
239.667,0.785111
240,0.784237
240.333,0.784152
240.667,0.785225
241,0.785646
241.333,0.787648
241.667,0.788291
242,0.789025
242.333,0.789013
242.667,0.790219
243,0.790921
243.333,0.789353
243.667,0.787999
244,0.786629
244.333,0.78613
244.667,0.784214
245,0.784191
245.333,0.783828
245.667,0.785076
246,0.785357
246.333,0.784386
246.667,0.785096
247,0.785166
247.333,0.785256
247.667,0.784811
248,0.783566
248.333,0.783406
248.667,0.783266
249,0.783414
249.333,0.782965
249.667,0.782685
250,0.782575
250.333,0.782517
250.667,0.781132
251,0.778334
251.333,0.777491
251.667,0.776894
252,0.778061
252.333,0.777097
252.667,0.776403
253,0.775587
253.333,0.772926
253.667,0.771705
254,0.773457
254.333,0.77609
254.667,0.784468
255,0.783477
255.333,0.783676
255.667,0.782923
256,0.783001
256.333,0.782665
256.667,0.782025
257,0.780515
257.333,0.780289
257.667,0.780176
258,0.781494
258.333,0.782349
258.667,0.783071
259,0.78158
259.333,0.782127
259.667,0.781327
260,0.780055
260.333,0.782903
260.667,0.782802
261,0.782337
261.333,0.78151
261.667,0.781931
262,0.781986
262.333,0.782845
262.667,0.782739
263,0.785708
263.333,0.785837
263.667,0.7859
264,0.785365
264.333,0.784881
264.667,0.785045
