time,Qdensity
0,0.17882
0.8,0.20577
1.6,0.194338
2.4,0.210421
3.2,0.205602
4,0.215618
4.8,0.201103
5.6,0.227749
6.4,0.282944
7.2,0.25315
8,0.271266
8.8,0.273498
9.6,0.257547
10.4,0.240227
11.2,0.237964
12,0.238249
12.8,0.240324
13.6,0.238865
14.4,0.237894
15.2,0.237383
16,0.233633
16.8,0.235381
17.6,0.235506
18.4,0.239638
19.2,0.253501
20,0.242591
20.8,0.241323
21.6,0.235869
22.4,0.23615
23.2,0.252857
24,0.249408
24.8,0.24521
25.6,0.251039
26.4,0.263431
27.2,0.285984
28,0.33126
28.8,0.382194
29.6,0.406362
30.4,0.430959
31.2,0.447558
32,0.446625
32.8,0.446133
33.6,0.447175
34.4,0.467422
35.2,0.516155
36,0.517759
36.8,0.520674
37.6,0.520245
38.4,0.515824
39.2,0.524217
40,0.564721
40.8,0.58983
41.6,0.596939
42.4,0.604114
43.2,0.617505
44,0.619628
44.8,0.609975
45.6,0.609939
46.4,0.606112
47.2,0.618668
48,0.655212
48.8,0.660585
49.6,0.684062
50.4,0.693559
51.2,0.703614
52,0.702861
52.8,0.701187
53.6,0.689525
54.4,0.702494
55.2,0.718398
56,0.719803
56.8,0.720131
57.6,0.718636
58.4,0.717403
59.2,0.720533
60,0.722058
60.8,0.721703
61.6,0.719998
62.4,0.719366
63.2,0.717329
64,0.71768
64.8,0.716127
65.6,0.715386
66.4,0.714684
67.2,0.715304
68,0.713088
68.8,0.712748
69.6,0.714313
70.4,0.715445
71.2,0.714137
72,0.714988
72.8,0.712807
73.6,0.713029
74.4,0.713946
75.2,0.710837
76,0.708293
76.8,0.709518
77.6,0.70059
78.4,0.709721
79.2,0.713139
80,0.71475
80.8,0.71516
81.6,0.711999
82.4,0.709092
83.2,0.711847
84,0.711586
84.8,0.712343
85.6,0.708687
86.4,0.70706
87.2,0.706178
88,0.706771
88.8,0.705873
89.6,0.706061
90.4,0.705288
91.2,0.705132
92,0.705038
92.8,0.702412
93.6,0.70592
94.4,0.710692
95.2,0.713915
96,0.709619
96.8,0.714485
97.6,0.714972
98.4,0.728098
99.2,0.734513
100,0.746499
100.8,0.74335
101.6,0.740724
102.4,0.747627
103.2,0.759461
104,0.761743
104.8,0.762852
105.6,0.781885
106.4,0.775283
107.2,0.743354
108,0.727123
108.8,0.726327
109.6,0.706517
110.4,0.685194
111.2,0.716186
112,0.714496
112.8,0.72578
113.6,0.71882
114.4,0.725382
115.2,0.749242
116,0.633799
116.8,0.507927
117.6,0.447078
118.4,0.503162
119.2,0.438123
120,0.390408
120.8,0.41147
121.6,0.385609
122.4,0.349962
123.2,0.321876
124,0.298762
124.8,0.27539
125.6,0.323527
126.4,0.388855
127.2,0.540487
128,0.559961
128.8,0.386713
129.6,0.32906
130.4,0.272706
131.2,0.233387
132,0.155819
132.8,0.142046
133.6,0.198641
134.4,0.388582
135.2,0.53046
136,0.445556
136.8,0.325076
137.6,0.229637
138.4,0.199664
139.2,0.144242
140,0.163744
140.8,0.274212
141.6,0.539102
142.4,0.732211
143.2,0.716034
144,0.43181
144.8,0.413893
145.6,0.240761
146.4,0.179878
147.2,0.150423
148,0.1372
148.8,0.139228
149.6,0.143435
150.4,0.143372
151.2,0.165187
152,0.219895
152.8,0.212594
153.6,0.217702
154.4,0.211123
155.2,0.184774
156,0.15308
156.8,0.161769
157.6,0.145448
158.4,0.137691
159.2,0.191177
160,0.254636
160.8,0.198618
161.6,0.163529
162.4,0.164079
163.2,0.162678
164,0.161527
164.8,0.147758
165.6,0.141195
166.4,0.141889
167.2,0.152186
168,0.193483
168.8,0.201318
169.6,0.165261
170.4,0.191115
171.2,0.137504
172,0.12524
172.8,0.125229
173.6,0.124667
174.4,0.123785
