frame,time,Qdensity
1,0,0.177558
2,0.067,0.178593
3,0.134,0.17929
4,0.201,0.181568
5,0.268,0.182191
6,0.335,0.183752
7,0.402,0.18905
8,0.469,0.191519
9,0.536,0.19471
10,0.603,0.199348
11,0.67,0.196593
12,0.737,0.205469
13,0.804,0.206337
14,0.871,0.194678
15,0.938,0.205616
16,1.005,0.203859
17,1.072,0.202865
18,1.139,0.198272
19,1.206,0.184824
20,1.273,0.194009
21,1.34,0.193398
22,1.407,0.194213
23,1.474,0.186605
24,1.541,0.192184
25,1.608,0.175003
26,1.675,0.197062
27,1.742,0.20163
28,1.809,0.203672
29,1.876,0.200355
30,1.943,0.207983
31,2.01,0.208489
32,2.077,0.209609
33,2.144,0.209919
34,2.211,0.199523
35,2.278,0.210481
36,2.345,0.209088
37,2.412,0.207433
38,2.479,0.207723
39,2.546,0.207796
40,2.613,0.206606
41,2.68,0.206887
42,2.747,0.206247
43,2.814,0.206137
44,2.881,0.204026
45,2.948,0.203488
46,3.015,0.202771
47,3.082,0.202241
48,3.149,0.203211
49,3.216,0.204515
50,3.283,0.205815
51,3.35,0.195566
52,3.417,0.207278
53,3.484,0.207474
54,3.551,0.208925
55,3.618,0.202987
56,3.685,0.208782
57,3.752,0.209976
58,3.819,0.19914
59,3.886,0.205404
60,3.953,0.20366
61,4.02,0.202677
62,4.087,0.201019
63,4.154,0.198064
64,4.221,0.197555
65,4.288,0.19425
66,4.355,0.193594
67,4.422,0.193435
68,4.489,0.192689
69,4.556,0.193997
70,4.623,0.194861
71,4.69,0.194792
72,4.757,0.195155
73,4.824,0.190802
74,4.891,0.198639
75,4.958,0.199955
76,5.025,0.20229
77,5.092,0.205722
78,5.159,0.209426
79,5.226,0.217654
80,5.293,0.226632
81,5.36,0.230788
82,5.427,0.237834
83,5.494,0.244787
84,5.561,0.258341
85,5.628,0.264454
86,5.695,0.268105
87,5.762,0.27249
88,5.829,0.278314
89,5.896,0.281452
90,5.963,0.266577
91,6.03,0.284757
92,6.097,0.286643
93,6.164,0.283184
94,6.231,0.281994
95,6.298,0.277808
96,6.365,0.272348
97,6.432,0.271296
98,6.499,0.264641
99,6.566,0.26154
100,6.633,0.259543
101,6.7,0.253361
102,6.767,0.251222
103,6.834,0.251857
104,6.901,0.248247
105,6.968,0.249922
106,7.035,0.254082
107,7.102,0.211386
108,7.169,0.258883
109,7.236,0.262632
110,7.303,0.265342
111,7.37,0.261878
112,7.437,0.264935
113,7.504,0.267726
114,7.571,0.26868
115,7.638,0.270933
116,7.705,0.273338
117,7.772,0.272551
118,7.839,0.265803
119,7.906,0.269902
120,7.973,0.269572
121,8.04,0.272739
122,8.107,0.272918
123,8.174,0.272572
124,8.241,0.27044
125,8.308,0.27029
126,8.375,0.268052
127,8.442,0.265542
128,8.509,0.261312
129,8.576,0.257791
130,8.643,0.257216
131,8.71,0.254743
132,8.777,0.240862
133,8.844,0.254722
134,8.911,0.252884
135,8.978,0.253381
136,9.045,0.253341
137,9.112,0.252583
138,9.179,0.252244
139,9.246,0.248145
140,9.313,0.245349
141,9.38,0.244481
142,9.447,0.242089
143,9.514,0.240051
144,9.581,0.228315
145,9.648,0.20176
146,9.715,0.23545
147,9.782,0.234904
148,9.849,0.234065
149,9.916,0.234415
150,9.983,0.224174
151,10.05,0.232194
152,10.117,0.232333
153,10.184,0.231982
154,10.251,0.232113
155,10.318,0.232072
156,10.385,0.232129
157,10.452,0.23327
158,10.519,0.233584
159,10.586,0.233947
160,10.653,0.234648
161,10.72,0.2353
162,10.787,0.217255
163,10.854,0.23563
164,10.921,0.234415
165,10.988,0.233449
166,11.055,0.233547
167,11.122,0.219614
168,11.189,0.233527
169,11.256,0.233568
170,11.323,0.234118
171,11.39,0.233947
172,11.457,0.228653
173,11.524,0.234582
174,11.591,0.235096
175,11.658,0.235308
176,11.725,0.235903
177,11.792,0.236094
178,11.859,0.235797
179,11.926,0.235785
180,11.993,0.234309
181,12.06,0.234566
182,12.127,0.234941
183,12.194,0.234953
184,12.261,0.235226
185,12.328,0.235039
186,12.395,0.234794
187,12.462,0.234831
188,12.529,0.234876
189,12.596,0.234786
190,12.663,0.234542
191,12.73,0.234485
192,12.797,0.234676
193,12.864,0.234342
194,12.931,0.234167
195,12.998,0.234212
196,13.065,0.234399
197,13.132,0.227659
198,13.199,0.233584
199,13.266,0.233392
200,13.333,0.233274
201,13.4,0.233221
202,13.467,0.233246
203,13.534,0.23411
204,13.601,0.23411
205,13.668,0.234085
206,13.735,0.233674
207,13.802,0.233417
208,13.869,0.233421
209,13.936,0.233572
210,14.003,0.233515
211,14.07,0.233364
212,14.137,0.23307
213,14.204,0.233001
214,14.271,0.215449
215,14.338,0.233409
216,14.405,0.2232
217,14.472,0.227341
218,14.539,0.232797
219,14.606,0.231518
220,14.673,0.217385
221,14.74,0.231485
222,14.807,0.230727
223,14.874,0.228755
224,14.941,0.228429
225,15.008,0.228449
226,15.075,0.222332
227,15.142,0.229562
228,15.209,0.229782
229,15.276,0.224154
230,15.343,0.231265
231,15.41,0.231587
232,15.477,0.231408
233,15.544,0.230654
234,15.611,0.230744
235,15.678,0.230621
236,15.745,0.231135
237,15.812,0.230739
238,15.879,0.230939
239,15.946,0.231379
240,16.013,0.231118
241,16.08,0.231534
242,16.147,0.22038
243,16.214,0.231424
244,16.281,0.230992
245,16.348,0.230862
246,16.415,0.231049
247,16.482,0.231
248,16.549,0.230976
249,16.616,0.223575
250,16.683,0.228934
251,16.75,0.22884
252,16.817,0.229007
253,16.884,0.228457
254,16.951,0.228351
255,17.018,0.232333
256,17.085,0.235393
257,17.152,0.236661
258,17.219,0.238918
259,17.286,0.241902
260,17.353,0.242896
261,17.42,0.245268
262,17.487,0.248214
263,17.554,0.248658
264,17.621,0.250675
265,17.688,0.251829
266,17.755,0.250427
267,17.822,0.249722
268,17.889,0.249282
269,17.956,0.248626
270,18.023,0.247566
271,18.09,0.247032
272,18.157,0.231795
273,18.224,0.245219
274,18.291,0.24367
275,18.358,0.242419
276,18.425,0.241266
277,18.492,0.239228
278,18.559,0.238242
279,18.626,0.237561
280,18.693,0.237985
281,18.76,0.238197
282,18.827,0.237871
283,18.894,0.238405
284,18.961,0.239212
285,19.028,0.239273
286,19.095,0.239628
287,19.162,0.239086
288,19.229,0.237806
289,19.296,0.237036
290,19.363,0.236445
291,19.43,0.235886
292,19.497,0.234839
293,19.564,0.23426
294,19.631,0.233009
295,19.698,0.226954
296,19.765,0.232753
297,19.832,0.231502
298,19.899,0.231616
299,19.966,0.231457
300,20.033,0.231237
301,20.1,0.220767
302,20.167,0.231591
303,20.234,0.231591
304,20.301,0.231461
305,20.368,0.231571
306,20.435,0.231167
307,20.502,0.231094
308,20.569,0.231196
309,20.636,0.225617
310,20.703,0.231404
311,20.77,0.231506
312,20.837,0.231612
313,20.904,0.232137
314,20.971,0.233939
315,21.038,0.235234
316,21.105,0.221925
317,21.172,0.234721
318,21.239,0.240145
319,21.306,0.242973
320,21.373,0.245744
321,21.44,0.230039
322,21.507,0.247994
323,21.574,0.248793
324,21.641,0.248817
325,21.708,0.248597
326,21.775,0.248385
327,21.842,0.248153
328,21.909,0.233001
329,21.976,0.248267
330,22.043,0.247843
331,22.11,0.247195
332,22.177,0.247191
333,22.244,0.246401
334,22.311,0.245064
335,22.378,0.244041
336,22.445,0.243654
337,22.512,0.24288
338,22.579,0.242492
339,22.646,0.241926
340,22.713,0.241804
341,22.78,0.239844
342,22.847,0.239831
343,22.914,0.240096
344,22.981,0.239619
345,23.048,0.239338
346,23.115,0.239354
347,23.182,0.239766
348,23.249,0.239762
349,23.316,0.239587
350,23.383,0.239909
351,23.45,0.240019
352,23.517,0.240712
353,23.584,0.2414
354,23.651,0.242089
355,23.718,0.243523
356,23.785,0.245463
357,23.852,0.248768
358,23.919,0.250757
359,23.986,0.225694
360,24.053,0.231314
361,24.12,0.219818
362,24.187,0.25665
363,24.254,0.257322
364,24.321,0.255896
365,24.388,0.256943
366,24.455,0.256238
367,24.522,0.256715
368,24.589,0.256487
369,24.656,0.256662
370,24.723,0.256902
371,24.79,0.257546
372,24.857,0.259482
373,24.924,0.260778
374,24.991,0.264014
375,25.058,0.268615
376,25.125,0.270758
377,25.192,0.275241
378,25.259,0.280241
379,25.326,0.282992
380,25.393,0.28798
381,25.46,0.293669
382,25.527,0.301049
383,25.594,0.305614
384,25.661,0.307509
385,25.728,0.31235
386,25.795,0.316996
387,25.862,0.318377
388,25.929,0.322542
389,25.996,0.327322
390,26.063,0.32936
391,26.13,0.336088
392,26.197,0.321026
393,26.264,0.351554
394,26.331,0.358168
395,26.398,0.360128
396,26.465,0.365059
397,26.532,0.369163
398,26.599,0.37131
399,26.666,0.350376
400,26.733,0.381083
401,26.8,0.385757
402,26.867,0.388039
403,26.934,0.388862
404,27.001,0.391711
405,27.068,0.394299
406,27.135,0.395762
407,27.202,0.398427
408,27.269,0.399886
409,27.336,0.401108
410,27.403,0.404947
411,27.47,0.406749
412,27.537,0.411688
413,27.604,0.388736
414,27.671,0.415351
415,27.738,0.418334
416,27.805,0.421334
417,27.872,0.422544
418,27.939,0.392591
419,28.006,0.427919
420,28.073,0.428877
421,28.14,0.43023
422,28.207,0.432427
423,28.274,0.432981
424,28.341,0.434464
425,28.408,0.393944
426,28.475,0.439709
427,28.542,0.441376
428,28.609,0.442166
429,28.676,0.443878
430,28.743,0.444106
431,28.81,0.444632
432,28.877,0.445663
433,28.944,0.449168
434,29.011,0.449404
435,29.078,0.449322
436,29.145,0.449392
437,29.212,0.449685
438,29.279,0.449204
439,29.346,0.448882
440,29.413,0.449718
441,29.48,0.449249
442,29.547,0.4492
443,29.614,0.448821
444,29.681,0.44865
445,29.748,0.448067
446,29.815,0.448031
447,29.882,0.447542
448,29.949,0.447778
449,30.016,0.447167
450,30.083,0.447248
451,30.15,0.446886
452,30.217,0.447065
453,30.284,0.374363
454,30.351,0.447538
455,30.418,0.447342
456,30.485,0.445243
457,30.552,0.444901
458,30.619,0.445728
459,30.686,0.444485
460,30.753,0.445565
461,30.82,0.446091
462,30.887,0.447444
463,30.954,0.448149
464,31.021,0.448544
465,31.088,0.44865
466,31.155,0.448206
467,31.222,0.44834
468,31.289,0.448768
469,31.356,0.449168
470,31.423,0.44995
471,31.49,0.450215
472,31.557,0.450166
473,31.624,0.451438
474,31.691,0.453724
475,31.758,0.377745
476,31.825,0.460415
477,31.892,0.469014
478,31.959,0.472698
479,32.026,0.411667
480,32.093,0.497492
481,32.16,0.458255
482,32.227,0.511136
483,32.294,0.513866
484,32.361,0.51572
485,32.428,0.516617
486,32.495,0.518259
487,32.562,0.519037
488,32.629,0.519832
489,32.696,0.521063
490,32.763,0.52123
491,32.83,0.519636
492,32.897,0.519999
493,32.964,0.520981
494,33.031,0.520639
495,33.098,0.520916
496,33.165,0.520562
497,33.232,0.520643
498,33.299,0.520386
499,33.366,0.52211
500,33.433,0.522216
501,33.5,0.52251
502,33.567,0.52923
503,33.634,0.52934
504,33.701,0.528981
505,33.768,0.48915
506,33.835,0.527824
507,33.902,0.526414
508,33.969,0.526499
509,34.036,0.525338
510,34.103,0.524445
511,34.17,0.524641
512,34.237,0.489781
513,34.304,0.523679
514,34.371,0.523647
515,34.438,0.524111
516,34.505,0.524282
517,34.572,0.524665
518,34.639,0.525268
519,34.706,0.5244
520,34.773,0.524841
521,34.84,0.523891
522,34.907,0.523826
523,34.974,0.504379
524,35.041,0.521544
525,35.108,0.518186
526,35.175,0.518418
527,35.242,0.519229
528,35.309,0.51927
529,35.376,0.519579
530,35.443,0.44118
531,35.51,0.519302
532,35.577,0.519482
533,35.644,0.519967
534,35.711,0.520586
535,35.778,0.52059
536,35.845,0.521328
537,35.912,0.521568
538,35.979,0.521849
539,36.046,0.522664
540,36.113,0.522958
541,36.18,0.523883
542,36.247,0.526316
543,36.314,0.527799
544,36.381,0.528671
545,36.448,0.500626
546,36.515,0.533643
547,36.582,0.535041
548,36.649,0.54659
549,36.716,0.551268
550,36.783,0.554614
551,36.85,0.560707
552,36.917,0.562414
553,36.984,0.566746
554,37.051,0.568849
555,37.118,0.52436
556,37.185,0.571999
557,37.252,0.573466
558,37.319,0.574151
559,37.386,0.577786
560,37.453,0.585513
561,37.52,0.587318
562,37.587,0.590166
563,37.654,0.591943
564,37.721,0.593745
565,37.788,0.594657
566,37.855,0.594466
567,37.922,0.594857
568,37.989,0.595444
569,38.056,0.595554
570,38.123,0.555714
571,38.19,0.562524
572,38.257,0.60306
573,38.324,0.602482
574,38.391,0.602082
575,38.458,0.601573
576,38.525,0.577969
577,38.592,0.601357
578,38.659,0.601271
579,38.726,0.601386
580,38.793,0.601675
581,38.86,0.603044
582,38.927,0.60337
583,38.994,0.566518
584,39.061,0.606133
585,39.128,0.606304
586,39.195,0.607392
587,39.262,0.607914
588,39.329,0.543407
589,39.396,0.612132
590,39.463,0.612588
591,39.53,0.613102
592,39.597,0.611989
593,39.664,0.612739
594,39.731,0.621929
595,39.798,0.622459
596,39.865,0.621762
597,39.932,0.577362
598,39.999,0.622149
599,40.066,0.621741
600,40.133,0.621053
601,40.2,0.620311
602,40.267,0.620816
603,40.334,0.625006
604,40.401,0.625649
605,40.468,0.625234
606,40.535,0.625283
607,40.602,0.624953
608,40.669,0.624627
609,40.736,0.623938
610,40.803,0.622618
611,40.87,0.621309
612,40.937,0.619182
613,41.004,0.61919
614,41.071,0.618844
615,41.138,0.618493
616,41.205,0.617988
617,41.272,0.613513
618,41.339,0.612572
619,41.406,0.613
620,41.473,0.612197
621,41.54,0.611781
622,41.607,0.611354
623,41.674,0.610865
624,41.741,0.611688
625,41.808,0.61377
626,41.875,0.614602
627,41.942,0.614899
628,42.009,0.614255
629,42.076,0.614084
630,42.143,0.613359
631,42.21,0.613004
632,42.277,0.610873
633,42.344,0.563156
634,42.411,0.609601
635,42.478,0.608921
636,42.545,0.607136
637,42.612,0.606736
638,42.679,0.606924
639,42.746,0.606692
640,42.813,0.609952
641,42.88,0.609344
642,42.947,0.609577
643,43.014,0.608004
644,43.081,0.607462
645,43.148,0.608142
646,43.215,0.609581
647,43.282,0.609071
648,43.349,0.610689
649,43.416,0.610836
650,43.483,0.612674
651,43.55,0.614231
652,43.617,0.614337
653,43.684,0.615009
654,43.751,0.621138
655,43.818,0.626888
656,43.885,0.585676
657,43.952,0.630295
658,44.019,0.631212
659,44.086,0.635569
660,44.153,0.636596
661,44.22,0.588267
662,44.287,0.639721
663,44.354,0.659934
664,44.421,0.659551
665,44.488,0.659747
666,44.555,0.659568
667,44.622,0.659918
668,44.689,0.66119
669,44.756,0.661022
670,44.823,0.660908
671,44.89,0.660533
672,44.957,0.660941
673,45.024,0.611798
674,45.091,0.661581
675,45.158,0.617605
676,45.225,0.665326
677,45.292,0.666239
678,45.359,0.667796
679,45.426,0.668712
680,45.493,0.670257
681,45.56,0.673199
682,45.627,0.674075
683,45.694,0.674732
684,45.761,0.676284
685,45.828,0.629321
686,45.895,0.636791
687,45.962,0.688864
688,46.029,0.691037
689,46.096,0.692956
690,46.163,0.694195
691,46.23,0.696383
692,46.297,0.653145
693,46.364,0.697488
694,46.431,0.697956
695,46.498,0.698527
696,46.565,0.698437
697,46.632,0.699004
698,46.699,0.69948
699,46.766,0.699387
700,46.833,0.699599
701,46.9,0.700039
702,46.967,0.700899
703,47.034,0.701396
704,47.101,0.70107
705,47.168,0.701062
706,47.235,0.701269
707,47.302,0.701624
708,47.369,0.701824
709,47.436,0.709159
710,47.503,0.709587
711,47.57,0.710174
712,47.637,0.710052
713,47.704,0.709807
714,47.771,0.709481
715,47.838,0.709457
716,47.905,0.709363
717,47.972,0.709766
718,48.039,0.709432
719,48.106,0.709073
720,48.173,0.708161
721,48.24,0.708531
722,48.307,0.710793
723,48.374,0.709673
724,48.441,0.708927
725,48.508,0.707957
726,48.575,0.707419
727,48.642,0.707329
728,48.709,0.708047
729,48.776,0.707199
730,48.843,0.706926
731,48.91,0.706412
732,48.977,0.655851
733,49.044,0.702924
734,49.111,0.704159
735,49.178,0.703287
736,49.245,0.702904
737,49.312,0.700907
738,49.379,0.699199
739,49.446,0.697537
740,49.513,0.695238
741,49.58,0.69503
742,49.647,0.695589
743,49.714,0.647684
744,49.781,0.695311
745,49.848,0.693628
746,49.915,0.645903
747,49.982,0.6962
748,50.049,0.699607
749,50.116,0.705243
750,50.183,0.707236
751,50.25,0.707476
752,50.317,0.708295
753,50.384,0.70801
754,50.451,0.708214
755,50.518,0.7172
756,50.585,0.716674
757,50.652,0.717012
758,50.719,0.719694
759,50.786,0.720097
760,50.853,0.721075
761,50.92,0.722485
762,50.987,0.723023
763,51.054,0.72319
764,51.121,0.72372
765,51.188,0.724164
766,51.255,0.724144
767,51.322,0.724771
768,51.389,0.72544
769,51.456,0.725472
770,51.523,0.725656
771,51.59,0.696542
772,51.657,0.662563
773,51.724,0.725195
774,51.791,0.724963
775,51.858,0.725073
776,51.925,0.725004
777,51.992,0.724918
778,52.059,0.72515
779,52.126,0.725016
780,52.193,0.725309
781,52.26,0.725521
782,52.327,0.72513
783,52.394,0.72535
784,52.461,0.725179
785,52.528,0.681704
786,52.595,0.724926
787,52.662,0.69937
788,52.729,0.724824
789,52.796,0.724755
790,52.863,0.724812
791,52.93,0.724637
792,52.997,0.724572
793,53.064,0.724274
794,53.131,0.724013
795,53.198,0.723883
796,53.265,0.723378
797,53.332,0.723337
798,53.399,0.66145
799,53.466,0.723121
800,53.533,0.723035
801,53.6,0.660709
802,53.667,0.722868
803,53.734,0.722999
804,53.801,0.722889
805,53.868,0.722823
806,53.935,0.722738
807,54.002,0.722424
808,54.069,0.722359
809,54.136,0.722322
810,54.203,0.722322
811,54.27,0.7222
812,54.337,0.722326
813,54.404,0.722302
814,54.471,0.722318
815,54.538,0.722318
816,54.605,0.722338
817,54.672,0.722334
818,54.739,0.722334
819,54.806,0.722334
820,54.873,0.722334
821,54.94,0.722334
822,55.007,0.723223
823,55.074,0.723308
824,55.141,0.725546
825,55.208,0.72566
826,55.275,0.725835
827,55.342,0.726075
828,55.409,0.72656
829,55.476,0.726573
830,55.543,0.672881
831,55.61,0.72696
832,55.677,0.727053
833,55.744,0.727273
834,55.811,0.727591
835,55.878,0.72762
836,55.945,0.72764
837,56.012,0.727538
838,56.079,0.727416
839,56.146,0.727335
840,56.213,0.727298
841,56.28,0.727176
842,56.347,0.727053
843,56.414,0.673362
844,56.481,0.727249
845,56.548,0.72685
846,56.615,0.726096
847,56.682,0.725179
848,56.749,0.725069
849,56.816,0.725134
850,56.883,0.663427
851,56.95,0.724991
852,57.017,0.725057
853,57.084,0.695805
