time,Qdensity
0,0.17882
6.66667,0.281235
13.3333,0.239372
20,0.242591
26.6667,0.263501
33.3333,0.446485
40,0.564721
46.6667,0.607142
53.3333,0.692677
60,0.722058
66.6667,0.716217
73.3333,0.713431
80,0.71475
86.6667,0.706279
93.3333,0.704637
100,0.746499
106.667,0.754201
113.333,0.726018
120,0.390408
126.667,0.425391
133.333,0.15903
140,0.163744
146.667,0.167696
153.333,0.212419
160,0.254636
166.667,0.140438
173.333,0.124796
180,0.225985
186.667,0.190432
193.333,0.195762
200,0.744427
206.667,0.798959
213.333,0.770971
220,0.768618
226.667,0.769149
233.333,0.785096
240,0.784237
246.667,0.785096
253.333,0.772926
260,0.780055
266.667,0.787339
273.333,0.785818
280,0.79748
286.667,0.781904
293.333,0.641716
300,0.619003
306.667,0.607212
313.333,0.475054
320,0.143466
326.667,0.1356
333.333,0.178457
340,0.257563
346.667,0.118529
353.333,0.318166
360,0.31801
366.667,0.544014
373.333,0.699474
380,0.694898
