time,Qdensity
0,0.17882
0.2,0.182859
0.4,0.189722
0.6,0.199387
0.8,0.20577
1,0.203944
1.2,0.194267
1.4,0.194658
1.6,0.194338
1.8,0.202434
2,0.208884
2.2,0.210944
2.4,0.210421
2.6,0.209231
2.8,0.209527
3,0.20744
3.2,0.205602
3.4,0.207584
3.6,0.210331
3.8,0.212477
4,0.215618
4.2,0.210811
4.4,0.206367
4.6,0.201396
4.8,0.201103
5,0.198243
5.2,0.201482
5.4,0.208131
5.6,0.227749
5.8,0.244082
6,0.262787
6.2,0.276182
6.4,0.282944
6.6,0.28113
6.8,0.272374
7,0.262569
7.2,0.25315
7.4,0.252689
7.6,0.260122
7.8,0.267551
8,0.271266
8.2,0.277306
8.4,0.275207
8.6,0.276767
8.8,0.273498
9,0.269034
9.2,0.261363
9.4,0.25871
9.6,0.257547
9.8,0.256447
10,0.249662
10.2,0.244367
10.4,0.240227
10.6,0.239189
10.8,0.237168
11,0.237086
11.2,0.237964
11.4,0.239333
11.6,0.240367
11.8,0.237983
12,0.238249
12.2,0.238694
12.4,0.239685
12.6,0.240336
12.8,0.240324
13,0.239575
13.2,0.239372
13.4,0.239099
13.6,0.238865
13.8,0.238869
14,0.238955
14.2,0.238139
14.4,0.237894
14.6,0.238229
14.8,0.23771
15,0.237726
15.2,0.237383
15.4,0.237839
15.6,0.237359
15.8,0.236216
16,0.233633
16.2,0.233286
16.4,0.235123
16.6,0.236083
16.8,0.235381
17,0.235603
17.2,0.23583
17.4,0.236025
17.6,0.235506
17.8,0.235439
18,0.233535
18.2,0.233118
18.4,0.239638
18.6,0.24592
18.8,0.252073
19,0.255553
19.2,0.253501
19.4,0.251452
19.6,0.249139
19.8,0.245327
20,0.242591
20.2,0.242552
20.4,0.243485
20.6,0.24336
20.8,0.241323
21,0.239267
21.2,0.237219
21.4,0.236239
21.6,0.235869
21.8,0.236013
22,0.235873
22.2,0.235915
22.4,0.23615
22.6,0.238342
22.8,0.244496
23,0.250087
23.2,0.252857
23.4,0.252787
23.6,0.252717
23.8,0.251546
24,0.249408
24.2,0.248456
24.4,0.246997
24.6,0.245373
24.8,0.24521
25,0.245295
25.2,0.245346
25.4,0.247055
25.6,0.251039
25.8,0.256322
