time,Qdensity
0,0.17882
0.666667,0.201872
1.33333,0.194127
2,0.208884
2.66667,0.209629
3.33333,0.206667
4,0.215618
4.66667,0.201377
5.33333,0.204798
6,0.262787
6.66667,0.281235
7.33333,0.251082
8,0.271266
8.66667,0.276834
9.33333,0.258608
10,0.249662
10.6667,0.238998
11.3333,0.238432
12,0.238249
12.6667,0.240562
13.3333,0.239372
14,0.238955
14.6667,0.238428
15.3333,0.237449
16,0.233633
16.6667,0.235627
17.3333,0.235802
18,0.233535
18.6667,0.246887
19.3333,0.252385
20,0.242591
20.6667,0.243317
21.3333,0.236251
22,0.235873
22.6667,0.239614
23.3333,0.25299
24,0.249408
24.6667,0.245299
25.3333,0.246407
26,0.261507
26.6667,0.263501
27.3333,0.293491
28,0.33126
28.6667,0.372994
29.3333,0.398898
30,0.420175
30.6667,0.435848
31.3333,0.447616
32,0.446625
32.6667,0.445431
33.3333,0.446485
34,0.449021
34.6667,0.495464
35.3333,0.517451
36,0.517759
36.6667,0.522398
37.3333,0.520986
38,0.516222
38.6667,0.517541
39.3333,0.526577
40,0.564721
40.6667,0.588281
41.3333,0.597941
42,0.59944
42.6667,0.609136
43.3333,0.616658
44,0.619628
44.6667,0.610677
45.3333,0.611574
46,0.604633
46.6667,0.607142
47.3333,0.625356
48,0.655212
48.6667,0.657128
49.3333,0.669317
50,0.691335
50.6667,0.693953
51.3333,0.70432
52,0.702861
52.6667,0.702268
53.3333,0.692677
54,0.690083
54.6667,0.711527
55.3333,0.718765
56,0.719803
56.6667,0.720412
57.3333,0.719296
58,0.718031
58.6667,0.719725
59.3333,0.720287
60,0.722058
60.6667,0.721886
61.3333,0.719924
62,0.719417
62.6667,0.718519
63.3333,0.717555
64,0.71768
64.6667,0.716884
65.3333,0.71404
66,0.715171
66.6667,0.716217
67.3333,0.71338
68,0.713088
68.6667,0.712713
69.3333,0.713958
70,0.714957
70.6667,0.71477
71.3333,0.714317
72,0.714988
72.6667,0.712741
73.3333,0.713431
74,0.713966
74.6667,0.714598
75.3333,0.71047
76,0.708293
76.6667,0.708632
77.3333,0.696763
78,0.707091
78.6667,0.710224
79.3333,0.713384
80,0.71475
80.6667,0.716237
81.3333,0.712854
82,0.710926
82.6667,0.708667
83.3333,0.711808
84,0.711586
84.6667,0.71276
85.3333,0.710224
86,0.707551
86.6667,0.706279
87.3333,0.705218
88,0.706771
88.6667,0.705331
89.3333,0.706119
90,0.705475
90.6667,0.705971
91.3333,0.705405
92,0.705038
92.6667,0.701858
93.3333,0.704637
94,0.709307
94.6667,0.711757
95.3333,0.714348
96,0.709619
96.6667,0.714063
97.3333,0.713739
98,0.715511
98.6667,0.734146
99.3333,0.735586
100,0.746499
100.667,0.742418
101.333,0.742574
102,0.745016
102.667,0.756234
103.333,0.758443
104,0.761743
104.667,0.757818
105.333,0.765848
106,0.787382
106.667,0.754201
107.333,0.748657
108,0.727123
108.667,0.726658
109.333,0.711671
110,0.692814
110.667,0.684847
111.333,0.717567
112,0.714496
112.667,0.713837
113.333,0.726018
114,0.725987
114.667,0.73056
115.333,0.743304
116,0.633799
116.667,0.531544
117.333,0.466856
118,0.469306
118.667,0.490887
119.333,0.411201
120,0.390408
120.667,0.413928
121.333,0.388925
122,0.362475
122.667,0.348498
123.333,0.316976
124,0.298762
124.667,0.270158
125.333,0.338338
126,0.35718
126.667,0.425391
127.333,0.561733
128,0.559961
128.667,0.429051
129.333,0.332431
130,0.298161
130.667,0.256665
131.333,0.219863
132,0.155819
132.667,0.143645
133.333,0.15903
134,0.264769
134.667,0.415282
135.333,0.562333
136,0.445556
136.667,0.331877
137.333,0.254757
138,0.216882
138.667,0.175469
139.333,0.143321
140,0.163744
140.667,0.25464
141.333,0.443492
142,0.672778
142.667,0.738235
143.333,0.663051
144,0.43181
144.667,0.418969
145.333,0.268367
146,0.217643
146.667,0.167696
147.333,0.148597
148,0.1372
