time,Qdensity
0,0.17882
1.66667,0.194841
3.33333,0.206667
5,0.198243
6.66667,0.281235
8.33333,0.276682
10,0.249662
11.6667,0.240012
13.3333,0.239372
15,0.237726
16.6667,0.235627
18.3333,0.23684
20,0.242591
21.6667,0.236029
23.3333,0.25299
25,0.245295
26.6667,0.263501
28.3333,0.354101
30,0.420175
31.6667,0.446848
33.3333,0.446485
35,0.513132
36.6667,0.522398
38.3333,0.515824
40,0.564721
41.6667,0.596708
43.3333,0.616658
45,0.608652
46.6667,0.607142
48.3333,0.656297
50,0.691335
51.6667,0.703903
53.3333,0.692677
55,0.717029
56.6667,0.720412
58.3333,0.717431
60,0.722058
61.6667,0.720017
63.3333,0.717555
65,0.715882
66.6667,0.716217
68.3333,0.713427
70,0.714957
71.6667,0.714399
73.3333,0.713431
75,0.713197
76.6667,0.708632
78.3333,0.709545
80,0.71475
81.6667,0.711878
83.3333,0.711808
85,0.710661
86.6667,0.706279
88.3333,0.706396
90,0.705475
91.6667,0.703318
93.3333,0.704637
95,0.713806
96.6667,0.714063
98.3333,0.726573
100,0.746499
101.667,0.740627
103.333,0.758443
105,0.765669
106.667,0.754201
108.333,0.729967
110,0.692814
111.667,0.716514
113.333,0.726018
115,0.739815
116.667,0.531544
118.333,0.498433
120,0.390408
121.667,0.384122
123.333,0.316976
125,0.297794
126.667,0.425391
128.333,0.486646
130,0.298161
131.667,0.183818
133.333,0.15903
135,0.474905
136.667,0.331877
138.333,0.202297
140,0.163744
141.667,0.571042
143.333,0.663051
145,0.368132
146.667,0.167696
148.333,0.137656
150,0.141199
151.667,0.206402
153.333,0.212419
155,0.19147
156.667,0.161012
158.333,0.137215
160,0.254636
161.667,0.159096
163.333,0.159838
165,0.14702
166.667,0.140438
168.333,0.204814
170,0.184056
171.667,0.125318
173.333,0.124796
175,0.137422
176.667,0.277723
178.333,0.287236
180,0.225985
181.667,0.17349
183.333,0.192941
185,0.201704
186.667,0.190432
188.333,0.185145
190,0.190373
191.667,0.183221
193.333,0.195762
195,0.196928
196.667,0.244468
198.333,0.514833
200,0.744427
201.667,0.794823
203.333,0.80725
205,0.794113
206.667,0.798959
208.333,0.789033
210,0.785123
211.667,0.779727
213.333,0.770971
215,0.761166
216.667,0.759047
218.333,0.759395
220,0.768618
221.667,0.770398
223.333,0.769379
225,0.770472
226.667,0.769149
228.333,0.770936
230,0.784608
231.667,0.785069
233.333,0.785096
235,0.78682
236.667,0.785275
238.333,0.784265
240,0.784237
241.667,0.788291
243.333,0.789353
245,0.784191
246.667,0.785096
248.333,0.783406
250,0.782575
251.667,0.776894
253.333,0.772926
255,0.783477
256.667,0.782025
258.333,0.782349
260,0.780055
261.667,0.781931
263.333,0.785837
265,0.785104
266.667,0.787339
268.333,0.784585
270,0.787507
271.667,0.78924
273.333,0.785818
275,0.784713
276.667,0.787058
278.333,0.784448
280,0.79748
281.667,0.804718
283.333,0.813298
285,0.78581
286.667,0.781904
288.333,0.741489
290,0.671658
291.667,0.70592
293.333,0.641716
295,0.645547
296.667,0.560562
298.333,0.580442
300,0.619003
301.667,0.767417
303.333,0.764853
305,0.631649
306.667,0.607212
308.333,0.616604
310,0.621126
311.667,0.618695
313.333,0.475054
315,0.623354
316.667,0.445782
318.333,0.24066
320,0.143466
321.667,0.133731
323.333,0.135054
325,0.131238
326.667,0.1356
328.333,0.164563
330,0.258082
331.667,0.221069
333.333,0.178457
335,0.162585
336.667,0.186249
338.333,0.445611
340,0.257563
341.667,0.14743
343.333,0.118034
345,0.118814
346.667,0.118529
348.333,0.119805
350,0.119559
351.667,0.174563
353.333,0.318166
355,0.357496
356.667,0.333855
358.333,0.29216
360,0.31801
361.667,0.337327
363.333,0.398235
365,0.417834
366.667,0.544014
368.333,0.647775
370,0.67931
371.667,0.659017
373.333,0.699474
375,0.691452
376.667,0.700703
378.333,0.698105
380,0.694898
381.667,0.691507
