1,0,0.17882,0
4,0.2,0.182859,0
7,0.4,0.189722,0
10,0.6,0.199387,0.070377
13,0.8,0.20577,0.0649834
16,1,0.203944,0.0693066
19,1.2,0.194267,0.0649951
22,1.4,0.194658,0.0587912
25,1.6,0.194338,0.0621728
28,1.8,0.202434,0.0759644
31,2,0.208884,0.0985793
34,2.2,0.210944,0.115641
37,2.4,0.210421,0.122741
40,2.6,0.209231,0.123395
43,2.8,0.209527,0.118364
46,3,0.20744,0.108826
49,3.2,0.205602,0.0956335
52,3.4,0.207584,0.081306
55,3.6,0.210331,0.0650797
58,3.8,0.212477,0.0542118
61,4,0.215618,0.0519488
64,4.2,0.210811,0.0577833
67,4.4,0.206367,0.061927
70,4.6,0.201396,0.0588147
73,4.8,0.201103,0.0581032
76,5,0.198243,0.0590045
79,5.2,0.201482,0.0642499
82,5.4,0.208131,0.0699205
85,5.6,0.227749,0.0813073
88,5.8,0.244082,0.0891617
91,6,0.262787,0.0951106
94,6.2,0.276182,0.0983843
97,6.4,0.282944,0.103018
