density,time
0.249377,23.785
0.251289,23.852
0.254535,23.919
0.256474,23.986
0.258097,24.053
0.259736,24.12
0.261714,24.187
0.262577,24.254
0.263384,24.321
0.261929,24.388
0.262939,24.455
0.262561,24.522
0.263248,24.589
0.263045,24.656
0.26317,24.723
0.263326,24.79
0.26395,24.857
0.265792,24.924
0.267028,24.991
0.270146,25.058
0.274567,25.125
0.276611,25.192
0.280872,25.259
0.285691,25.326
0.288305,25.393
0.293097,25.46
0.298563,25.527
0.305692,25.594
0.310077,25.661
0.312009,25.728
0.316734,25.795
0.321193,25.862
0.322465,25.929
0.326531,25.996
0.331096,26.063
0.333012,26.13
0.339431,26.197
0.345896,26.264
0.354238,26.331
0.360528,26.398
0.36244,26.465
0.367102,26.532
0.371051,26.599
0.373017,26.666
0.377559,26.733
0.382296,26.8
0.38676,26.867
0.388929,26.934
0.389698,27.001
0.392366,27.068
0.394809,27.135
0.396225,27.202
0.398758,27.269
0.400104,27.336
0.401196,27.403
0.404552,27.47
0.406382,27.537
0.411021,27.604
0.414103,27.671
0.414603,27.738
0.417525,27.805
0.420413,27.872
0.421552,27.939
0.424463,28.006
0.426691,28.073
0.427565,28.14
0.428891,28.207
0.430983,28.274
0.431502,28.341
0.432973,28.408
0.434935,28.475
0.43808,28.542
0.43968,28.609
0.44046,28.676
0.442095,28.743
0.442294,28.81
0.442805,28.877
0.443777,28.944
0.447058,29.011
0.447304,29.078
0.447257,29.145
0.447366,29.212
0.447679,29.279
0.447222,29.346
0.446859,29.413
0.447772,29.48
0.447331,29.547
0.447327,29.614
0.447031,29.681
0.446965,29.748
0.446551,29.815
0.44661,29.882
0.446184,29.949
0.446504,30.016
0.445954,30.083
0.446024,30.15
0.445611,30.217
0.445751,30.284
0.445462,30.351
0.446184,30.418
0.446005,30.485
0.443984,30.552
0.443699,30.619
0.444425,30.686
0.44316,30.753
0.444218,30.82
0.444787,30.887
0.446137,30.954
0.446824,31.021
0.447132,31.088
0.447296,31.155
0.446828,31.222
0.446957,31.289
0.447339,31.356
0.44769,31.423
0.448393,31.49
0.448693,31.557
0.448623,31.624
0.449805,31.691
0.452049,31.758
0.453426,31.825
0.458444,31.892
0.466708,31.959
0.470255,32.026
0.492557,32.093
0.494496,32.16
0.500782,32.227
0.507603,32.294
0.510217,32.361
0.512035,32.428
0.512917,32.495
0.514536,32.562
0.515297,32.629
0.516054,32.696
0.517088,32.763
0.517092,32.83
0.5155,32.897
0.515949,32.964
0.516799,33.031
0.516382,33.098
0.516581,33.165
0.516249,33.232
0.516323,33.299
0.516101,33.366
0.51779,33.433
0.517829,33.5
0.51813,33.567
0.524669,33.634
0.52479,33.701
0.524474,33.768
0.524974,33.835
0.523428,33.902
0.522172,33.969
0.522289,34.036
0.521279,34.103
0.520592,34.17
0.520826,34.237
0.520092,34.304
0.519991,34.371
0.519983,34.438
0.520533,34.505
0.52083,34.572
0.521158,34.639
0.521657,34.706
0.520814,34.773
0.52122,34.84
0.520311,34.907
0.520319,34.974
0.518134,35.041
0.518181,35.108
0.515227,35.175
0.515465,35.242
