time,density
74.2,0.714489
74.4,0.715792
74.6,0.714176
74.8,0.713057
75,0.712721
75.2,0.712229
75.4,0.711558
75.6,0.710844
75.8,0.710368
76,0.709221
76.2,0.708733
76.4,0.708991
76.6,0.71084
76.8,0.711668
77,0.712791
77.2,0.71219
77.4,0.7115
77.6,0.712183
77.8,0.712171
78,0.71191
78.2,0.711863
78.4,0.710353
78.6,0.710228
78.8,0.710688
79,0.708667
79.2,0.707797
79.4,0.707824
79.6,0.706978
79.8,0.705951
80,0.706147
80.2,0.70656
80.4,0.705827
80.6,0.705124
80.8,0.705436
81,0.705936
81.2,0.707138
81.4,0.706833
81.6,0.705772
81.8,0.705893
82,0.703513
82.2,0.704679
82.4,0.705932
82.6,0.705838
82.8,0.706139
83,0.705237
83.2,0.705214
83.4,0.705155
83.6,0.705967
83.8,0.706525
84,0.705409
84.2,0.705358
84.4,0.704356
84.6,0.703103
84.8,0.704781
85,0.704102
85.2,0.702549
85.4,0.701628
85.6,0.702916
85.8,0.703724
86,0.704652
86.2,0.705405
86.4,0.70631
86.6,0.708179
86.8,0.708995
87,0.71031
87.2,0.710805
87.4,0.712354
87.6,0.713876
87.8,0.714091
88,0.713658
88.2,0.712951
88.4,0.709662
88.6,0.709732
88.8,0.712272
89,0.71418
89.2,0.71434
89.4,0.715558
89.6,0.71411
89.8,0.713377
90,0.714418
90.2,0.713802
90.4,0.716654
90.6,0.723888
90.8,0.730962
91,0.734193
91.2,0.738243
91.4,0.734201
91.6,0.735196
91.8,0.741442
92,0.746897
92.2,0.746066
92.4,0.740244
92.6,0.739054
92.8,0.742234
93,0.742191
93.2,0.742761
93.4,0.742812
93.6,0.740721
93.8,0.741555
94,0.74534
94.2,0.746117
94.4,0.746889
94.6,0.755142
94.8,0.760643
95,0.761868
95.2,0.758423
95.4,0.757744
95.6,0.762902
95.8,0.761178
96,0.760596
96.2,0.755723
96.4,0.754533
96.6,0.76293
96.8,0.765637
97,0.766671
97.2,0.771927
97.4,0.786832
97.6,0.785997
97.8,0.784526
98,0.777838
98.2,0.762395
98.4,0.748072
98.6,0.74147
98.8,0.743081
99,0.747794
99.2,0.739964
99.4,0.734439
99.6,0.72756
99.8,0.73392
100,0.723716
100.2,0.725968
100.4,0.709147
100.6,0.713677
100.8,0.71068
101,0.706576
101.2,0.703341
101.4,0.692506
101.6,0.691363
101.8,0.68336
102,0.684823
102.2,0.706974
102.4,0.716092
102.6,0.717372
102.8,0.718753
103,0.714098
103.2,0.714352
103.4,0.718999
103.6,0.710817
103.8,0.71411
104,0.730232
104.2,0.731103
104.4,0.726171
104.6,0.723463
104.8,0.720439
105,0.726311
105.2,0.729905
105.4,0.725176
105.6,0.72912
105.8,0.731813
106,0.739788
106.2,0.748263
106.4,0.719873
106.6,0.680496
106.8,0.653948
107,0.609506
107.2,0.603537
107.4,0.542251
107.6,0.508305
107.8,0.485959
108,0.481144
108.2,0.463138
108.4,0.454331
108.6,0.460851
108.8,0.474484
109,0.49825
109.2,0.500396
109.4,0.483275
109.6,0.461686
109.8,0.438221
110,0.406351
110.2,0.392675
110.4,0.387825
110.6,0.39054
110.8,0.401302
111,0.409386
111.2,0.414018
111.4,0.408372
111.6,0.400993
111.8,0.389549
112,0.387095
112.2,0.376264
112.4,0.362385
112.6,0.364328
112.8,0.3497
113,0.348323
113.2,0.339232
113.4,0.327144
113.6,0.31712
113.8,0.312009
114,0.292804
114.2,0.294591
114.4,0.305926
114.6,0.290954
114.8,0.268394
115,0.275281
115.2,0.3117
115.4,0.335416
115.6,0.32593
115.8,0.325969
116,0.352127
116.2,0.378691
116.4,0.387797
116.6,0.405246
116.8,0.453165
117,0.505827
117.2,0.540819
117.4,0.567601
117.6,0.575299
117.8,0.572556
118,0.558428
118.2,0.487524
118.4,0.452462
