time,density
0,0.183955
0.2,0.184724
0.4,0.187248
0.6,0.18598
0.8,0.183296
1,0.185461
1.2,0.192945
1.4,0.195855
1.6,0.195852
1.8,0.195114
2,0.195742
2.2,0.194896
2.4,0.195742
2.6,0.196129
2.8,0.195223
3,0.193885
3.2,0.194264
3.4,0.195411
3.6,0.195937
3.8,0.196815
4,0.196004
4.2,0.196347
4.4,0.194736
4.6,0.198716
4.8,0.205797
5,0.213792
5.2,0.223574
5.4,0.244511
5.6,0.261031
5.8,0.282979
6,0.333769
6.2,0.366217
6.4,0.408688
6.6,0.439325
6.8,0.493599
7,0.521275
7.2,0.536542
7.4,0.58741
7.6,0.643636
7.8,0.663468
8,0.68732
8.2,0.711367
8.4,0.738044
8.6,0.757709
8.8,0.763675
9,0.777682
9.2,0.774413
9.4,0.781873
9.6,0.789107
9.8,0.791214
10,0.794538
10.2,0.79732
10.4,0.800968
10.6,0.811523
10.8,0.810817
11,0.808429
11.2,0.809857
11.4,0.806306
11.6,0.806692
11.8,0.805151
12,0.801768
12.2,0.802439
12.4,0.796033
12.6,0.794
12.8,0.792685
13,0.793169
13.2,0.79377
13.4,0.794569
13.6,0.798979
13.8,0.797913
14,0.800137
14.2,0.801074
14.4,0.799189
14.6,0.798257
14.8,0.795416
15,0.792989
15.2,0.790999
15.4,0.789076
15.6,0.788678
15.8,0.787796
16,0.787601
16.2,0.789279
16.4,0.788155
16.6,0.784433
16.8,0.787835
17,0.787019
17.2,0.785236
17.4,0.784807
17.6,0.784132
17.8,0.784339
18,0.783836
18.2,0.78336
18.4,0.783816
18.6,0.782946
18.8,0.782482
19,0.781943
19.2,0.779719
19.4,0.778482
19.6,0.776957
19.8,0.775006
20,0.774491
20.2,0.771389
20.4,0.771841
20.6,0.771486
20.8,0.770429
21,0.769251
21.2,0.768583
21.4,0.768236
21.6,0.767015
21.8,0.76545
22,0.763769
22.2,0.761427
22.4,0.760635
22.6,0.75996
22.8,0.761572
23,0.761603
23.2,0.761037
23.4,0.76037
23.6,0.759379
23.8,0.758895
24,0.759032
24.2,0.757444
24.4,0.76142
24.6,0.759597
24.8,0.75966
25,0.758489
25.2,0.757576
25.4,0.75877
25.6,0.760468
25.8,0.761931
26,0.768911
26.2,0.769637
26.4,0.767655
26.6,0.767678
26.8,0.768193
27,0.768326
27.2,0.768568
27.4,0.770039
27.6,0.769309
27.8,0.769204
28,0.769742
28.2,0.769582
28.4,0.770725
28.6,0.769922
28.8,0.768174
29,0.768603
29.2,0.768142
29.4,0.76897
29.6,0.769215
29.8,0.769375
30,0.769582
30.2,0.769805
30.4,0.770546
30.6,0.769379
30.8,0.769274
31,0.769391
31.2,0.770913
31.4,0.771034
31.6,0.771334
31.8,0.77117
32,0.769395
32.2,0.768977
32.4,0.770452
32.6,0.769286
32.8,0.768217
33,0.768739
33.2,0.76865
33.4,0.768447
33.6,0.769969
33.8,0.771451
34,0.770722
34.2,0.771045
34.4,0.771159
34.6,0.771143
34.8,0.771116
35,0.773035
35.2,0.78423
35.4,0.783722
35.6,0.783906
35.8,0.784234
36,0.784339
36.2,0.78476
