Frame,Time,Density
1,0,0.100329
2,0.067,0.103618
3,0.134,0.0986842
4,0.201,0.0904605
5,0.268,0.0855263
6,0.335,0.0822368
7,0.402,0.0789474
8,0.469,0.0805921
9,0.536,0.0789474
10,0.603,0.0773026
11,0.67,0.0822368
12,0.737,0.0789474
13,0.804,0.0773026
14,0.871,0.0789474
15,0.938,0.0789474
16,1.005,0.0822368
17,1.072,0.0805921
18,1.139,0.0773026
19,1.206,0.0789474
20,1.273,0.0740132
21,1.34,0.0756579
22,1.407,0.0740132
23,1.474,0.0773026
24,1.541,0.0773026
25,1.608,0.0789474
26,1.675,0.0773026
27,1.742,0.0871711
28,1.809,0.0888158
29,1.876,0.0904605
30,1.943,0.09375
31,2.01,0.0953947
32,2.077,0.0970395
33,2.144,0.103618
34,2.211,0.0986842
35,2.278,0.0855263
36,2.345,0.0953947
37,2.412,0.0921053
38,2.479,0.0888158
39,2.546,0.0871711
40,2.613,0.0871711
41,2.68,0.0838816
42,2.747,0.0888158
43,2.814,0.0904605
44,2.881,0.0822368
45,2.948,0.0904605
46,3.015,0.0871711
47,3.082,0.09375
48,3.149,0.0822368
49,3.216,0.09375
50,3.283,0.0871711
51,3.35,0.106908
52,3.417,0.0904605
53,3.484,0.113487
54,3.551,0.113487
55,3.618,0.103618
56,3.685,0.108553
57,3.752,0.111842
58,3.819,0.111842
59,3.886,0.110197
60,3.953,0.120066
61,4.02,0.120066
62,4.087,0.115132
63,4.154,0.113487
64,4.221,0.110197
65,4.288,0.110197
66,4.355,0.108553
67,4.422,0.108553
68,4.489,0.110197
69,4.556,0.106908
70,4.623,0.105263
71,4.69,0.106908
72,4.757,0.108553
73,4.824,0.113487
74,4.891,0.106908
75,4.958,0.113487
76,5.025,0.115132
77,5.092,0.106908
78,5.159,0.103618
79,5.226,0.101974
80,5.293,0.0986842
81,5.36,0.106908
82,5.427,0.106908
83,5.494,0.105263
84,5.561,0.111842
85,5.628,0.101974
86,5.695,0.0986842
87,5.762,0.0970395
88,5.829,0.0986842
89,5.896,0.0904605
90,5.963,0.0970395
91,6.03,0.0904605
92,6.097,0.0953947
93,6.164,0.0904605
94,6.231,0.101974
95,6.298,0.0888158
96,6.365,0.113487
97,6.432,0.0953947
98,6.499,0.101974
99,6.566,0.0953947
100,6.633,0.100329
