time,Qdensity
0,0.17882
0.866667,0.205473
1.73333,0.198009
2.6,0.209231
3.46667,0.208864
4.33333,0.208525
5.2,0.201482
6.06667,0.266186
6.93333,0.265327
7.8,0.267551
8.66667,0.276834
9.53333,0.257153
10.4,0.240227
11.2667,0.238284
12.1333,0.238893
13,0.239575
13.8667,0.238619
14.7333,0.238058
15.6,0.237359
16.4667,0.235728
17.3333,0.235802
18.2,0.233118
19.0667,0.255011
19.9333,0.243516
20.8,0.241323
21.6667,0.236029
22.5333,0.236731
23.4,0.252787
24.2667,0.247937
25.1333,0.245034
26,0.261507
26.8667,0.267309
27.7333,0.316777
28.6,0.371172
29.4667,0.401306
30.3333,0.428767
31.2,0.447558
32.0667,0.44629
32.9333,0.443867
33.8,0.448088
34.6667,0.495464
35.5333,0.516979
36.4,0.525294
37.2667,0.520689
38.1333,0.51637
39,0.520588
39.8667,0.56082
40.7333,0.588928
41.6,0.596939
42.4667,0.607571
43.3333,0.616658
44.2,0.616139
45.0667,0.609608
45.9333,0.604894
46.8,0.608371
47.6667,0.633569
48.5333,0.656071
49.4,0.671424
50.2667,0.692705
51.1333,0.695869
52,0.702861
52.8667,0.696544
53.7333,0.689123
54.6,0.711527
55.4667,0.720146
56.3333,0.72079
57.2,0.71958
58.0667,0.71786
58.9333,0.720076
59.8,0.721715
60.6667,0.721886
61.5333,0.719959
62.4,0.719366
63.2667,0.717384
64.1333,0.717364
65,0.715882
65.8667,0.715573
66.7333,0.716244
67.6,0.713142
68.4667,0.712963
69.3333,0.713958
70.2,0.715164
71.0667,0.714309
71.9333,0.714457
72.8,0.712807
73.6667,0.712963
74.5333,0.714321
75.4,0.710224
76.2667,0.706997
77.1333,0.706213
78,0.707091
78.8667,0.710833
79.7333,0.714442
80.6,0.716291
81.4667,0.712436
82.3333,0.708733
83.2,0.711847
84.0667,0.712015
84.9333,0.711004
85.8,0.708187
86.6667,0.706279
87.5333,0.705628
88.4,0.706018
89.2667,0.706314
90.1333,0.705495
91,0.705916
91.8667,0.703556
92.7333,0.702225
93.6,0.70592
94.4667,0.710957
95.3333,0.714348
96.2,0.709467
97.0667,0.715089
97.9333,0.714559
98.8,0.735886
99.6667,0.744174
100.533,0.740428
101.4,0.742433
102.267,0.74529
103.133,0.761861
104,0.761743
104.867,0.764767
105.733,0.787562
106.6,0.760382
107.467,0.74646
108.333,0.729967
109.2,0.71468
110.067,0.691616
110.933,0.707075
111.8,0.714528
112.667,0.713837
113.533,0.7231
114.4,0.725382
115.267,0.747412
116.133,0.609194
117,0.485448
117.867,0.460652
118.733,0.482924
119.6,0.39303
120.467,0.409519
121.333,0.388925
122.2,0.364539
123.067,0.32723
123.933,0.294622
124.8,0.27539
125.667,0.326558
126.533,0.404708
127.4,0.567199
128.267,0.497618
129.133,0.349681
130,0.298161
130.867,0.243871
131.733,0.17431
132.6,0.143013
133.467,0.178071
134.333,0.368019
135.2,0.53046
136.067,0.437483
136.933,0.308396
137.8,0.225217
138.667,0.175469
139.533,0.143915
140.4,0.205864
141.267,0.427619
142.133,0.689622
143,0.722039
143.867,0.446929
144.733,0.415496
145.6,0.240761
146.467,0.176397
147.333,0.148597
148.2,0.13821
149.067,0.14052
149.933,0.141445
150.8,0.144078
151.667,0.206402
152.533,0.216367
153.4,0.215969
154.267,0.221159
155.133,0.184423
156,0.15308
156.867,0.160283
157.733,0.144812
158.6,0.13551
159.467,0.231151
160.333,0.22732
161.2,0.187974
162.067,0.143119
162.933,0.165195
163.8,0.152619
164.667,0.153614
165.533,0.142475
166.4,0.141889
167.267,0.158316
168.133,0.20579
169,0.198001
169.867,0.177439
170.733,0.164657
171.6,0.126376
172.467,0.125096
173.333,0.124796
174.2,0.123563
175.067,0.142401
175.933,0.180018
176.8,0.28788
177.667,0.301337
178.533,0.277376
179.4,0.248311
180.267,0.208505
181.133,0.179011
182,0.188559
182.867,0.198158
183.733,0.194174
184.6,0.202984
185.467,0.200897
186.333,0.196679
187.2,0.185758
188.067,0.185964
188.933,0.185184
189.8,0.184029
190.667,0.185145
191.533,0.185278
192.4,0.196659
193.267,0.195352
194.133,0.193967
195,0.196928
195.867,0.201911
196.733,0.249896
197.6,0.373357
198.467,0.528294
199.333,0.674265
200.2,0.761256
201.067,0.783363
