time,Qdensity
0,0.17882
0.4,0.189722
0.8,0.20577
1.2,0.194267
1.6,0.194338
2,0.208884
2.4,0.210421
2.8,0.209527
3.2,0.205602
3.6,0.210331
4,0.215618
4.4,0.206367
4.8,0.201103
5.2,0.201482
5.6,0.227749
6,0.262787
6.4,0.282944
6.8,0.272374
7.2,0.25315
7.6,0.260122
8,0.271266
8.4,0.275207
8.8,0.273498
9.2,0.261363
9.6,0.257547
10,0.249662
10.4,0.240227
10.8,0.237168
11.2,0.237964
11.6,0.240367
12,0.238249
12.4,0.239685
12.8,0.240324
13.2,0.239372
13.6,0.238865
14,0.238955
14.4,0.237894
14.8,0.23771
15.2,0.237383
15.6,0.237359
16,0.233633
16.4,0.235123
16.8,0.235381
17.2,0.23583
17.6,0.235506
18,0.233535
18.4,0.239638
18.8,0.252073
19.2,0.253501
19.6,0.249139
20,0.242591
20.4,0.243485
20.8,0.241323
21.2,0.237219
21.6,0.235869
22,0.235873
22.4,0.23615
22.8,0.244496
23.2,0.252857
23.6,0.252717
24,0.249408
24.4,0.246997
24.8,0.24521
25.2,0.245346
25.6,0.251039
26,0.261507
26.4,0.263431
26.8,0.266069
27.2,0.285984
27.6,0.310389
28,0.33126
28.4,0.360372
28.8,0.382194
29.2,0.394743
29.6,0.406362
30,0.420175
30.4,0.430959
30.8,0.439742
31.2,0.447558
31.6,0.447199
32,0.446625
32.4,0.446169
32.8,0.446133
33.2,0.444717
33.6,0.447175
34,0.449021
34.4,0.467422
34.8,0.507899
35.2,0.516155
35.6,0.516526
36,0.517759
36.4,0.525294
36.8,0.520674
37.2,0.520529
37.6,0.520245
38,0.516222
38.4,0.515824
38.8,0.518223
39.2,0.524217
39.6,0.547432
40,0.564721
40.4,0.580231
40.8,0.58983
41.2,0.599358
41.6,0.596939
42,0.59944
42.4,0.604114
42.8,0.608726
43.2,0.617505
43.6,0.622098
44,0.619628
44.4,0.614879
44.8,0.609975
45.2,0.61173
45.6,0.609939
46,0.604633
46.4,0.606112
46.8,0.608371
47.2,0.618668
47.6,0.632246
48,0.655212
48.4,0.656219
48.8,0.660585
49.2,0.668638
49.6,0.684062
50,0.691335
50.4,0.693559
50.8,0.695081
51.2,0.703614
51.6,0.703743
52,0.702861
52.4,0.702147
52.8,0.701187
53.2,0.69599
53.6,0.689525
54,0.690083
54.4,0.702494
54.8,0.71436
55.2,0.718398
55.6,0.72006
56,0.719803
56.4,0.720821
56.8,0.720131
57.2,0.71958
57.6,0.718636
58,0.718031
58.4,0.717403
58.8,0.719791
59.2,0.720533
59.6,0.72095
60,0.722058
60.4,0.722339
60.8,0.721703
61.2,0.719916
61.6,0.719998
62,0.719417
62.4,0.719366
62.8,0.718149
63.2,0.717329
63.6,0.718605
64,0.71768
64.4,0.717189
64.8,0.716127
65.2,0.713014
65.6,0.715386
66,0.715171
66.4,0.714684
66.8,0.71633
67.2,0.715304
67.6,0.713142
68,0.713088
68.4,0.713349
68.8,0.712748
69.2,0.714056
69.6,0.714313
70,0.714957
70.4,0.715445
70.8,0.714559
71.2,0.714137
71.6,0.714282
72,0.714988
72.4,0.712128
72.8,0.712807
73.2,0.713665
73.6,0.713029
74,0.713966
74.4,0.713946
74.8,0.714422
75.2,0.710837
75.6,0.709284
76,0.708293
76.4,0.706658
76.8,0.709518
77.2,0.705058
77.6,0.70059
78,0.707091
78.4,0.709721
78.8,0.710431
79.2,0.713139
79.6,0.713814
80,0.71475
80.4,0.714493
80.8,0.71516
81.2,0.713131
81.6,0.711999
82,0.710926
82.4,0.709092
82.8,0.70855
83.2,0.711847
83.6,0.712682
84,0.711586
84.4,0.711886
84.8,0.712343
85.2,0.71084
