time,Qdensity
0,0.17882
1.2,0.194267
2.4,0.210421
3.6,0.210331
4.8,0.201103
6,0.262787
7.2,0.25315
8.4,0.275207
9.6,0.257547
10.8,0.237168
12,0.238249
13.2,0.239372
14.4,0.237894
15.6,0.237359
16.8,0.235381
18,0.233535
19.2,0.253501
20.4,0.243485
21.6,0.235869
22.8,0.244496
24,0.249408
25.2,0.245346
26.4,0.263431
27.6,0.310389
28.8,0.382194
30,0.420175
31.2,0.447558
32.4,0.446169
33.6,0.447175
34.8,0.507899
36,0.517759
37.2,0.520529
38.4,0.515824
39.6,0.547432
40.8,0.58983
42,0.59944
43.2,0.617505
44.4,0.614879
45.6,0.609939
46.8,0.608371
48,0.655212
49.2,0.668638
50.4,0.693559
51.6,0.703743
52.8,0.701187
54,0.690083
55.2,0.718398
56.4,0.720821
57.6,0.718636
58.8,0.719791
60,0.722058
61.2,0.719916
62.4,0.719366
63.6,0.718605
64.8,0.716127
66,0.715171
67.2,0.715304
68.4,0.713349
69.6,0.714313
70.8,0.714559
72,0.714988
73.2,0.713665
74.4,0.713946
75.6,0.709284
76.8,0.709518
78,0.707091
79.2,0.713139
80.4,0.714493
81.6,0.711999
82.8,0.70855
84,0.711586
85.2,0.71084
86.4,0.70706
87.6,0.705358
88.8,0.705873
90,0.705475
91.2,0.705132
92.4,0.702299
93.6,0.70592
94.8,0.712553
96,0.709619
97.2,0.714274
98.4,0.728098
99.6,0.742426
100.8,0.74335
102,0.745016
103.2,0.759461
104.4,0.754923
105.6,0.781885
106.8,0.745598
108,0.727123
109.2,0.71468
110.4,0.685194
111.6,0.718308
112.8,0.72578
114,0.725987
115.2,0.749242
116.4,0.549789
117.6,0.447078
118.8,0.480957
120,0.390408
121.2,0.397985
122.4,0.349962
123.6,0.310081
124.8,0.27539
126,0.35718
127.2,0.540487
128.4,0.475709
129.6,0.32906
130.8,0.247906
132,0.155819
133.2,0.141394
134.4,0.388582
135.6,0.532918
136.8,0.325076
138,0.216882
139.2,0.144242
140.4,0.205864
141.6,0.539102
142.8,0.729983
144,0.43181
145.2,0.305344
146.4,0.179878
147.6,0.141925
148.8,0.139228
150,0.141199
151.2,0.165187
152.4,0.213667
153.6,0.217702
154.8,0.200659
156,0.15308
157.2,0.151679
158.4,0.137691
159.6,0.264469
160.8,0.198618
162,0.142007
163.2,0.162678
164.4,0.158531
165.6,0.141195
166.8,0.141265
168,0.193483
169.2,0.188231
170.4,0.191115
171.6,0.126376
172.8,0.125229
174,0.123235
175.2,0.150684
176.4,0.238756
177.6,0.306347
178.8,0.262042
180,0.225985
181.2,0.176311
182.4,0.198154
183.6,0.192551
184.8,0.203398
186,0.199578
187.2,0.185758
188.4,0.184997
189.6,0.182445
190.8,0.183947
192,0.189991
193.2,0.195153
194.4,0.195048
195.6,0.195208
196.8,0.252537
198,0.44835
199.2,0.65595
200.4,0.76641
201.6,0.794452
202.8,0.808136
204,0.804621
205.2,0.794788
206.4,0.80027
207.6,0.787519
208.8,0.784358
210,0.785123
211.2,0.782497
212.4,0.77506
213.6,0.769656
214.8,0.763312
216,0.760784
217.2,0.755099
218.4,0.759477
219.6,0.769293
220.8,0.76886
222,0.769851
223.2,0.769239
224.4,0.768958
225.6,0.769649
226.8,0.769262
228,0.7708
229.2,0.784148
230.4,0.785209
231.6,0.78515
232.8,0.784152
234,0.784378
235.2,0.787788
236.4,0.785607
237.6,0.784237
238.8,0.784514
240,0.784237
241.2,0.786364
242.4,0.789692
243.6,0.7878
244.8,0.784273
246,0.785357
247.2,0.785412
248.4,0.783215
249.6,0.782638
250.8,0.780683
252,0.778061
253.2,0.773886
254.4,0.775283
255.6,0.782985
256.8,0.782002
258,0.781494
259.2,0.782244
260.4,0.782868
261.6,0.781775
262.8,0.783114
264,0.785365
265.2,0.785115
266.4,0.788217
267.6,0.785517
268.8,0.783344
270,0.787507
271.2,0.791651
272.4,0.785865
273.6,0.785186
274.8,0.784807
276,0.784226
277.2,0.787546
278.4,0.78318
279.6,0.788888
280.8,0.794406
282,0.810941
283.2,0.81775
284.4,0.774686
285.6,0.812354
286.8,0.776508
288,0.756921
289.2,0.710985
290.4,0.681163
291.6,0.705175
292.8,0.695643
294,0.540444
295.2,0.636499
296.4,0.572267
297.6,0.55737
298.8,0.575732
300,0.619003
301.2,0.769571
302.4,0.775084
303.6,0.752676
304.8,0.638395
306,0.584582
307.2,0.599693
308.4,0.613209
309.6,0.619885
310.8,0.659059
312,0.551412
313.2,0.472966
314.4,0.589041
315.6,0.626631
316.8,0.39582
318,0.243906
319.2,0.19353
320.4,0.137285
321.6,0.133618
322.8,0.135814
324,0.132576
325.2,0.131175
326.4,0.131877
327.6,0.13073
328.8,0.206749
330,0.258082
331.2,0.203409
332.4,0.19044
333.6,0.180178
334.8,0.172257
336,0.139392
337.2,0.269089
338.4,0.450039
339.6,0.280447
340.8,0.164618
342,0.126192
343.2,0.118081
344.4,0.118955
345.6,0.119115
346.8,0.118459
348,0.119786
349.2,0.119454
350.4,0.126922
351.6,0.174977
352.8,0.231701
354,0.398243
355.2,0.336411
356.4,0.334206
357.6,0.361694
358.8,0.287462
360,0.31801
361.2,0.31703
362.4,0.354827
363.6,0.404622
364.8,0.415001
366,0.45734
367.2,0.617794
368.4,0.651295
369.6,0.684753
370.8,0.666231
372,0.656964
373.2,0.699069
374.4,0.693364
375.6,0.689318
376.8,0.697902
378,0.699853
379.2,0.693766
380.4,0.693626
381.6,0.69153
